order_id,customer_id,order_date,total_amount
85,374,2024-04-05,2601
86,5,2024-05-27,1257
87,320,2024-03-16,2592
88,183,2024-03-04,4656
89,435,2024-03-13,2154
90,389,2024-12-11,2193
91,29,2024-09-12,712
92,191,2024-11-05,4447
93,64,2024-02-12,1290
94,204,2024-12-21,915
95,393,2024-04-18,1894
96,200,2024-02-25,5006
97,295,2024-03-06,4723
98,352,2024-08-11,3817
99,107,2024-10-12,1976
100,444,2024-07-24,4404
101,209,2024-12-27,4987
102,138,2024-08-21,2294
103,383,2024-09-18,407
104,59,2024-06-25,308
105,250,2024-02-02,2826
106,147,2024-09-06,2339
107,164,2025-01-04,8255
108,488,2024-12-28,4765
109,469,2024-11-15,8002
110,66,2024-12-16,5228
111,381,2024-07-11,1876
112,22,2024-04-07,605
113,136,2024-03-02,776
114,95,2024-09-28,4497
115,450,2024-08-02,1083
116,306,2024-12-02,1536
117,443,2024-10-23,480
118,204,2024-03-11,1794
119,268,2024-12-16,1790
120,204,2024-08-18,1912
121,427,2024-10-21,3197
122,488,2024-07-18,3587
123,423,2024-08-09,2315
124,64,2024-07-02,1070
125,94,2024-03-16,5518
126,200,2024-12-02,573
127,296,2024-04-24,1921
128,348,2024-09-19,1543
129,211,2024-11-03,5025
130,374,2024-07-01,2385
131,38,2024-12-12,436
132,314,2024-09-04,7443
133,19,2024-06-25,1829
134,450,2024-03-17,2558
135,227,2024-05-21,250
136,248,2024-05-30,4074
137,426,2024-08-16,1337
138,290,2024-12-18,2025
139,251,2024-09-02,6732
140,296,2024-06-25,2403
141,321,2024-05-12,2591
142,291,2024-07-12,1534
143,182,2024-03-25,1245
144,362,2024-11-07,4574
145,437,2024-05-24,1991
146,209,2024-05-14,2268
147,176,2024-02-23,4086
148,297,2024-02-03,2832
149,344,2024-01-27,1831
150,273,2024-09-23,2372
151,26,2024-12-17,1743
152,254,2024-07-13,2698
153,186,2024-07-08,2797
154,77,2024-07-21,5109
155,268,2024-12-05,4418
156,94,2024-06-03,5561
157,365,2024-12-05,2936
158,272,2025-01-03,3792
159,480,2024-12-11,6726
160,395,2024-01-23,3345
161,281,2025-01-07,6308
162,161,2024-04-08,1650
163,445,2024-07-22,4095
164,366,2024-02-27,4211
165,1,2024-08-01,3478
166,226,2024-09-03,6532
167,247,2024-10-13,1455
168,321,2024-04-23,6549
169,167,2024-06-04,2982
170,494,2024-06-16,504
171,350,2024-12-17,1711
172,237,2024-02-05,4324
173,369,2024-07-23,2217
174,103,2024-10-11,3190
175,222,2024-10-30,5567
176,310,2024-10-22,1538
177,410,2024-02-21,1000
178,44,2024-09-09,2736
179,16,2024-10-27,8688
180,196,2024-06-13,772
181,302,2024-06-07,2277
182,129,2024-06-22,1049
183,184,2024-06-29,3178
184,44,2024-01-22,4805
185,103,2024-11-25,1866
186,154,2024-12-25,1986
187,378,2024-07-18,1990
188,437,2024-12-26,5603
189,285,2024-03-24,6840
190,226,2024-09-25,2682
191,392,2024-05-27,4418
192,311,2024-06-08,4158
193,57,2024-01-15,7334
194,109,2024-05-07,220
195,250,2024-03-04,3335
196,437,2024-09-05,1644
197,119,2024-09-20,409
198,46,2024-06-11,957
199,145,2024-12-11,4210
200,150,2024-09-22,3484
201,110,2024-03-02,456
202,459,2024-05-23,954
203,142,2024-03-28,481
204,120,2024-12-11,3831
205,448,2024-10-21,2241
206,306,2024-03-13,3403
207,340,2024-11-04,2877
208,498,2024-04-14,1442
209,161,2024-12-16,2419
210,321,2024-05-21,1999
211,152,2024-05-23,3294
212,280,2024-08-11,5272
213,249,2024-11-17,4693
214,41,2024-10-12,3803
215,35,2024-05-29,3559
216,161,2024-03-09,1530
217,120,2024-03-25,2393
218,281,2024-04-16,4714
219,288,2024-10-24,5364
220,281,2025-01-02,3861
221,222,2024-06-13,1806
222,395,2024-05-03,6451
223,312,2024-08-30,319
224,160,2024-05-17,5448
225,227,2024-03-31,2210
226,182,2024-09-26,1915
227,392,2024-06-30,5443
228,495,2024-06-18,7654
229,206,2024-09-04,4414
230,317,2024-10-22,2561
231,47,2024-08-04,4199
232,97,2024-07-13,2601
233,382,2024-07-19,6218
234,351,2024-10-25,2538
235,495,2024-09-17,2738
236,414,2024-12-26,978
237,354,2025-01-09,71
238,63,2024-07-24,2808
239,213,2024-09-19,4557
240,263,2024-06-24,1814
241,88,2024-05-24,2025
242,339,2024-09-25,234
243,299,2024-07-07,8289
244,32,2024-07-29,1998
245,330,2024-04-04,5397
246,86,2024-08-12,2832
247,198,2024-10-11,1406
248,209,2024-06-23,938
249,341,2024-09-17,5195
250,405,2024-10-24,6115
251,365,2024-12-14,6086
252,180,2024-02-09,1573
253,133,2024-11-02,3158
254,292,2024-07-14,1970
255,409,2024-09-07,1448
256,177,2024-05-21,1553
257,415,2024-08-08,573
258,100,2024-10-15,2700
259,228,2024-06-19,3726
260,492,2024-12-10,2905
261,407,2025-01-01,2257
262,203,2024-06-28,2325
263,139,2024-07-25,4901
264,491,2024-03-27,5565
265,14,2024-04-14,1430
266,453,2024-05-12,2223
267,348,2024-02-02,2698
268,373,2024-06-19,1596
269,485,2024-05-09,1317
270,193,2024-06-06,988
271,179,2024-11-17,1415
272,65,2024-05-14,940
273,198,2024-05-26,4086
274,203,2024-04-19,5569
275,380,2025-01-05,3425
276,341,2024-08-03,1479
277,406,2024-10-04,1880
278,101,2024-06-27,3330
279,371,2024-02-07,3651
280,20,2024-09-06,564
281,385,2024-08-02,2388
282,100,2024-04-16,4322
283,214,2024-03-20,4237
284,323,2024-09-09,1157
285,361,2024-04-25,2757
286,11,2024-12-03,3315
287,1,2024-11-15,1546
288,326,2024-03-02,2926
289,412,2024-03-30,2472
290,367,2024-12-25,4187
291,317,2024-12-03,3333
292,387,2024-03-11,2912
293,478,2024-03-27,1398
294,33,2024-08-30,3282
295,120,2024-12-26,1144
296,486,2024-07-05,2630
297,264,2024-01-28,210
298,114,2024-12-05,614
299,393,2024-01-20,754
300,360,2024-09-05,5366
301,163,2024-02-07,2082
302,349,2024-05-20,6475
303,267,2024-05-11,3923
304,307,2024-06-21,1365
305,452,2024-02-18,3035
306,359,2024-09-30,1491
307,228,2024-04-15,7371
308,25,2024-06-23,3912
309,402,2024-03-29,2826
310,490,2024-04-29,191
311,367,2024-05-22,586
312,288,2024-10-13,508
313,360,2024-08-18,3650
314,202,2024-10-26,2161
315,365,2024-07-20,1650
316,200,2024-07-30,1264
317,402,2024-08-05,6831
318,473,2024-12-21,599
319,261,2024-08-28,1244
320,314,2024-11-08,1142
321,52,2024-02-28,4148
322,389,2024-02-29,3150
323,338,2024-08-17,2860
324,139,2024-04-06,4065
325,497,2024-10-25,1380
326,461,2024-10-14,4328
327,68,2024-04-14,4300
328,132,2024-10-27,4258
329,313,2024-11-27,4384
330,203,2024-09-20,4338
331,94,2024-05-11,2401
332,137,2024-01-22,3744
333,396,2024-12-28,2740
334,1,2024-07-01,3900
335,114,2024-07-07,4390
336,343,2024-06-17,2673
337,429,2024-07-02,3109
338,287,2025-01-12,6249
339,446,2024-07-30,962
340,160,2024-04-28,3422
341,305,2024-10-24,2702
342,488,2024-08-20,2564
343,106,2025-01-13,3881
344,301,2024-11-25,6041
345,375,2024-11-14,3112
346,388,2024-06-05,373
347,37,2024-12-30,3159
348,486,2024-05-09,1476
349,418,2025-01-07,3498
350,500,2024-05-31,3881
351,329,2024-02-18,2337
352,314,2024-08-26,3898
353,65,2024-03-04,341
354,369,2024-12-07,384
355,386,2024-06-27,2944
356,371,2024-12-18,6490
357,363,2024-07-30,285
358,460,2024-06-10,6564
359,125,2024-02-10,691
360,6,2024-03-26,2729
361,80,2024-10-16,4821
362,160,2024-09-07,2100
363,484,2024-07-26,1575
364,242,2024-12-15,4100
365,155,2024-02-29,70
366,362,2024-07-20,6058
367,148,2024-10-25,706
368,144,2024-07-10,4241
369,139,2024-02-01,3534
370,154,2024-03-24,2619
371,109,2024-05-22,8048
372,491,2024-03-19,5212
373,107,2024-12-02,866
374,18,2024-06-27,840
375,156,2024-09-28,5337
376,217,2024-11-25,5623
377,148,2024-03-19,715
378,230,2024-03-19,3038
379,363,2024-08-09,4197
380,341,2024-08-22,144
381,381,2024-03-29,5634
382,458,2024-02-13,1654
383,135,2024-05-20,2101
384,372,2024-05-04,2409
385,297,2024-09-29,5685
386,222,2024-04-23,2907
387,272,2024-04-19,4864
388,245,2024-04-20,1471
389,286,2024-04-04,1911
390,445,2024-10-20,2328
391,223,2024-04-14,2504
392,31,2024-01-17,1604
393,425,2024-06-14,2037
394,157,2025-01-09,3985
395,41,2024-04-05,5051
396,496,2024-02-13,1074
397,500,2024-11-12,1937
398,206,2024-07-31,1700
399,111,2024-08-28,5726
400,393,2024-10-18,3459
401,321,2024-07-04,4203
402,143,2024-04-07,1678
403,156,2024-09-02,2006
404,172,2024-04-21,3879
405,354,2024-04-09,5796
406,499,2024-03-05,3098
407,383,2024-09-23,4566
408,293,2024-07-30,4792
409,271,2024-09-11,2021
410,201,2024-01-30,132
411,169,2024-08-29,4102
412,211,2024-03-19,2145
413,269,2024-10-04,655
414,105,2024-12-03,4136
415,115,2025-01-03,3959
416,108,2024-03-24,5206
417,411,2024-08-30,507
418,293,2024-02-26,4679
419,19,2024-02-03,1389
420,399,2024-07-23,361
421,110,2024-09-16,5553
422,419,2024-07-08,2397
423,348,2024-12-04,4066
424,17,2024-08-19,6211
425,233,2024-11-30,4461
426,149,2024-11-22,6038
427,168,2025-01-13,2835
428,326,2024-10-15,1152
429,292,2024-11-24,552
430,298,2024-05-06,4752
431,103,2024-01-26,2682
432,4,2024-04-18,7294
433,355,2024-11-14,5338
434,217,2024-09-08,2857
435,376,2024-06-15,637
436,39,2024-08-05,2486
437,153,2024-11-18,4388
438,444,2024-07-27,638
439,241,2024-10-04,6412
440,53,2024-08-21,6895
441,131,2024-10-28,1805
442,401,2024-08-15,553
443,419,2024-09-20,2721
444,27,2024-09-16,6256
445,55,2024-07-05,981
446,432,2024-05-07,1704
447,45,2025-01-10,1821
448,120,2024-01-27,6306
449,377,2024-05-08,4131
450,452,2024-07-30,881
451,467,2024-02-20,2310
452,285,2024-06-10,6170
453,317,2024-05-05,6759
454,463,2024-08-06,8616
455,325,2024-03-12,3423
456,325,2024-10-05,5896
457,243,2024-03-19,3632
458,305,2024-09-23,1726
459,395,2024-12-07,3867
460,2,2024-01-21,3682
461,85,2024-03-28,3126
462,370,2025-01-13,4476
463,4,2024-08-13,6004
464,435,2024-12-11,5347
465,479,2024-05-05,4840
466,409,2024-10-11,2084
467,384,2024-08-19,477
468,95,2024-04-02,4480
469,54,2024-12-18,240
470,499,2024-07-22,1100
471,109,2024-07-28,4085
472,54,2024-04-01,3450
473,89,2024-12-17,4069
474,454,2024-09-14,4090
475,3,2024-03-27,4340
476,495,2024-08-21,3856
477,244,2024-09-13,2931
478,293,2024-04-26,2739
479,418,2024-12-19,4417
480,112,2025-01-12,3987
481,287,2024-06-06,962
482,213,2024-06-03,3758
483,357,2024-06-16,7947
484,129,2024-09-03,720
485,463,2024-10-17,633
486,147,2024-08-11,4620
487,222,2024-05-06,3733
488,203,2024-01-24,162
489,352,2024-09-23,6308
490,28,2024-08-14,747
491,150,2024-06-09,3864
492,46,2024-11-09,2304
493,262,2024-09-25,4239
494,226,2024-01-29,2966
495,405,2024-08-03,4770
496,341,2024-03-06,6981
497,112,2024-02-09,4756
498,227,2024-05-25,2627
499,138,2024-06-10,2668
500,439,2024-05-04,2776
501,35,2024-09-27,7228
502,375,2024-11-19,7332
503,468,2024-02-11,3166
504,436,2024-03-15,2516
505,227,2024-03-27,561
506,479,2024-09-23,4645
507,47,2024-02-12,4758
508,121,2024-06-29,2028
509,394,2024-08-05,2996
510,253,2024-12-09,255
511,65,2024-09-05,2441
512,169,2024-07-22,3243
513,357,2024-07-14,1584
514,294,2024-05-06,1303
515,20,2024-07-23,3648
516,406,2024-07-09,4009
517,98,2024-07-26,2394
518,297,2024-12-12,4315
519,16,2024-02-13,628
520,465,2024-12-09,4270
521,497,2024-10-19,686
522,346,2024-08-12,1210
523,134,2024-01-24,3762
524,358,2024-05-17,3181
525,396,2024-02-11,2367
526,406,2024-11-12,5065
527,56,2024-01-27,6312
528,462,2024-04-09,3879
529,311,2024-04-09,4763
530,217,2024-10-24,2902
531,148,2024-07-03,4035
532,384,2024-08-23,1081
533,373,2024-08-30,3949
534,299,2024-08-31,3504
535,99,2024-05-25,2710
536,187,2024-01-21,4499
537,500,2024-05-18,2791
538,276,2024-06-11,2773
539,303,2024-06-20,6642
540,493,2024-08-17,1977
541,297,2025-01-01,6526
542,432,2024-05-16,3847
543,379,2024-11-15,5262
544,439,2024-04-17,4917
545,201,2024-06-07,200
546,342,2024-05-18,2499
547,439,2024-03-21,1800
548,342,2024-03-18,8241
549,258,2024-11-26,6268
550,73,2024-04-20,5102
551,10,2024-03-08,2853
552,74,2024-10-06,3521
553,76,2024-08-02,3676
554,414,2024-04-30,2518
555,290,2024-07-24,7497
556,432,2024-05-15,2919
557,492,2025-01-04,4327
558,35,2024-02-04,1362
559,363,2024-03-24,5601
560,393,2024-05-03,7507
561,459,2024-05-19,2156
562,360,2024-03-29,2876
563,429,2024-11-02,6503
564,268,2024-11-22,3290
565,384,2024-05-07,7078
566,483,2024-06-16,8341
567,87,2024-02-12,5026
568,325,2024-03-25,5490
569,254,2024-02-29,7086
570,62,2024-12-14,3421
571,43,2024-07-22,3816
572,490,2024-02-08,394
573,53,2024-05-27,4601
574,273,2025-01-08,862
575,351,2024-06-02,7282
576,100,2024-06-21,2160
577,26,2024-10-04,1368
578,356,2024-12-17,7041
579,300,2024-06-25,2532
580,290,2024-02-14,3568
581,365,2024-09-11,1289
582,332,2024-04-10,3692
583,191,2024-06-07,2476
584,52,2024-06-30,4438
585,402,2024-08-01,816
586,247,2024-06-25,1522
587,455,2024-04-28,7006
588,300,2024-10-20,958
589,37,2024-02-21,3318
590,215,2024-06-30,1119
591,343,2024-04-21,609
592,18,2024-10-27,1795
593,115,2024-07-12,571
594,480,2024-07-21,4887
595,461,2024-05-24,3743
596,254,2024-02-09,3246
597,111,2024-11-01,4460
598,301,2024-04-16,292
599,3,2024-12-03,1529
600,410,2024-02-15,1830
601,356,2024-11-04,1813
602,37,2024-11-05,3445
603,146,2024-10-06,4974
604,203,2024-12-22,2626
605,480,2024-07-19,6108
606,183,2024-04-17,1985
607,200,2024-11-18,280
608,51,2024-03-28,2523
609,156,2024-01-18,1028
610,492,2024-12-26,4964
611,322,2024-12-19,4538
612,174,2024-02-06,5639
613,319,2024-04-19,3355
614,197,2024-07-19,1423
615,162,2024-02-05,4570
616,285,2024-01-22,3173
617,470,2024-08-28,6018
618,197,2024-02-15,5274
619,38,2024-09-05,5291
620,5,2024-11-25,5444
621,87,2024-04-09,8439
622,481,2024-10-06,2766
623,427,2024-03-07,2914
624,155,2025-01-01,1820
625,253,2024-10-20,248
626,219,2024-12-26,6088
627,314,2024-05-16,3297
628,359,2024-06-26,5050
629,442,2024-09-18,2526
630,464,2024-12-21,1837
631,101,2024-05-11,762
632,299,2024-11-24,4974
633,24,2024-09-21,580
634,364,2024-01-23,2808
635,142,2024-06-29,1839
636,385,2024-10-11,1012
637,361,2024-04-06,4419
638,151,2024-05-19,3173
639,460,2024-10-30,3775
640,453,2024-12-19,2083
641,176,2024-09-28,2181
642,112,2024-04-27,1049
643,269,2024-09-26,513
644,224,2024-05-29,2818
645,493,2024-08-25,5911
646,435,2024-05-05,792
647,437,2024-08-28,3877
648,220,2024-12-23,1540
649,421,2024-06-03,4866
650,256,2024-02-10,6861
651,297,2024-05-31,4415
652,243,2024-03-26,2317
653,395,2024-10-04,2187
654,143,2024-05-12,3048
655,397,2024-02-24,5226
656,91,2024-07-22,4355
657,2,2024-03-23,6426
658,41,2024-12-05,948
659,400,2024-10-04,3310
660,101,2024-09-05,4474
661,64,2024-12-30,1890
662,444,2024-09-30,2318
663,394,2024-02-25,2515
664,193,2024-08-24,5102
665,409,2024-03-31,1086
666,489,2024-03-17,1630
667,339,2024-10-11,4018
668,120,2024-12-28,6056
669,494,2024-11-30,1461
670,95,2024-01-19,5398
671,226,2024-06-25,2062
672,317,2024-11-17,3501
673,197,2024-09-16,2850
674,388,2024-06-15,1441
675,287,2024-03-31,8001
676,39,2024-05-06,3125
677,433,2024-10-30,7972
678,339,2024-04-27,1616
679,191,2024-01-18,2730
680,413,2024-03-30,4038
681,85,2024-11-19,799
682,148,2024-07-26,3385
683,456,2024-02-18,2465
684,128,2024-03-15,318
685,114,2024-11-17,2465
686,16,2024-05-06,8560
687,83,2024-12-20,632
688,363,2024-11-19,1494
689,29,2024-03-14,4095
690,365,2024-12-06,2445
691,259,2024-06-30,2213
692,290,2024-11-24,1551
693,100,2024-10-23,3037
694,417,2024-06-11,4213
695,294,2024-08-27,5691
696,491,2024-07-16,8829
697,359,2024-06-11,3203
698,28,2024-11-09,4858
699,143,2024-04-08,52
700,62,2024-11-05,1240
701,236,2024-09-04,2813
702,387,2024-09-10,4171
703,343,2024-02-10,314
704,113,2024-08-22,376
705,54,2024-09-11,4320
706,338,2024-11-02,4059
707,152,2024-03-22,535
708,409,2024-10-14,671
709,24,2024-03-06,2268
710,338,2024-03-11,3839
711,271,2024-04-01,472
712,418,2024-10-13,2802
713,100,2024-05-10,881
714,489,2024-05-09,2196
715,343,2024-12-07,4325
716,242,2024-02-20,978
717,275,2024-03-20,4350
718,246,2024-03-23,682
719,337,2024-09-28,2305
720,419,2024-10-09,5593
721,25,2024-07-13,1044
722,256,2024-09-15,2715
723,102,2024-09-13,5486
724,294,2024-10-19,3132
725,403,2024-10-20,3150
726,149,2024-07-16,5946
727,392,2024-07-03,673
728,192,2024-02-02,605
729,484,2024-10-18,852
730,101,2024-10-09,870
731,301,2024-06-18,5798
732,298,2024-11-24,1003
733,102,2024-07-18,2214
734,142,2024-05-02,1310
735,494,2024-04-26,5489
736,469,2024-02-23,1020
737,360,2024-08-26,5429
738,277,2024-05-15,4470
739,21,2024-09-25,8985
740,111,2024-03-22,1743
741,75,2024-12-27,5349
742,256,2024-11-18,756
743,398,2024-02-15,1881
744,253,2024-12-15,1011
745,457,2024-10-25,186
746,217,2024-07-01,6056
747,218,2024-04-01,142
748,308,2024-07-08,5275
749,372,2024-12-03,3528
750,283,2025-01-11,4011
751,290,2025-01-09,3467
752,419,2024-09-10,4623
753,150,2024-04-15,1922
754,312,2024-09-24,1564
755,315,2024-02-22,1131
756,124,2024-08-17,5280
757,109,2024-08-24,2821
758,466,2024-03-23,1512
759,258,2024-10-06,66
760,294,2024-11-12,4736
761,355,2024-12-07,596
762,236,2024-06-30,7057
763,348,2024-07-10,2585
764,244,2024-05-13,2775
765,96,2024-11-05,3195
766,378,2024-05-01,1829
767,110,2024-04-02,1744
768,357,2024-04-27,73
769,71,2024-04-04,916
770,337,2024-09-17,2203
771,141,2024-04-04,6462
772,442,2024-03-20,2677
773,321,2024-08-15,729
774,178,2024-12-03,7863
775,201,2024-01-31,4569
776,231,2025-01-01,4572
777,275,2024-05-28,4125
778,421,2024-03-18,4326
779,83,2024-10-31,4315
780,481,2024-08-29,5195
781,363,2024-07-06,2831
782,374,2024-09-30,4665
783,498,2024-08-28,4605
784,398,2024-08-20,1608
785,58,2024-11-08,6018
786,325,2024-09-04,3258
787,333,2024-07-22,1949
788,319,2024-09-04,353
789,329,2024-03-29,1478
790,109,2024-10-05,6440
791,202,2024-07-15,5084
792,255,2025-01-06,924
793,219,2024-12-25,616
794,344,2024-12-17,3404
795,255,2024-06-20,2106
796,415,2024-04-11,2655
797,490,2024-09-21,1836
798,29,2024-04-05,3037
799,326,2024-08-08,5128
800,322,2024-03-12,6911
801,238,2024-12-15,1024
802,277,2024-09-23,389
803,57,2024-05-26,1321
804,498,2024-01-18,4715
805,282,2024-05-27,466
806,120,2024-11-22,5673
807,277,2024-04-12,1636
808,310,2024-04-28,2004
809,88,2024-03-30,1817
810,289,2024-09-01,4696
811,17,2024-07-03,552
812,293,2024-08-16,3237
813,38,2024-11-26,2299
814,64,2024-07-26,7348
815,50,2024-09-19,1392
816,330,2024-04-01,6612
817,87,2024-06-06,6311
818,466,2024-11-11,8371
819,142,2025-01-06,502
820,472,2024-03-04,2025
821,257,2024-08-30,213
822,216,2024-04-11,9225
823,210,2024-06-12,2460
824,434,2024-10-02,3371
825,254,2024-08-19,1846
826,167,2024-12-29,2002
827,373,2024-01-22,1530
828,297,2024-03-29,4874
829,166,2024-07-15,1403
830,111,2024-09-11,5034
831,495,2024-11-15,5029
832,193,2024-02-20,1079
833,446,2025-01-10,1442
834,293,2024-07-26,6284
835,373,2024-03-24,4372
836,388,2024-03-02,5082
837,113,2024-11-23,6963
838,105,2024-12-21,4013
839,3,2024-02-24,1003
840,304,2024-06-09,6794
841,83,2024-05-09,3659
842,487,2024-04-10,654
843,160,2024-10-13,7924
844,355,2024-07-02,7326
845,492,2024-11-12,345
846,216,2024-12-15,5353
847,253,2024-03-31,1497
848,375,2024-08-09,3493
849,56,2024-12-08,1710
850,101,2024-02-22,2992
851,31,2024-12-18,4088
852,443,2024-09-23,3899
853,175,2024-06-09,5494
854,242,2024-07-07,1688
855,423,2024-05-01,6095
856,459,2024-10-03,2067
857,386,2024-12-24,842
858,318,2024-05-10,7107
859,202,2024-10-14,4149
860,470,2024-07-12,3721
861,66,2024-02-02,2733
862,39,2024-01-17,2704
863,20,2024-04-20,678
864,378,2024-03-26,3397
865,108,2024-10-12,2934
866,15,2024-05-12,3655
867,215,2024-08-04,3073
868,298,2024-06-07,2973
869,209,2024-11-27,6463
870,77,2024-04-20,4061
871,387,2024-10-02,4130
872,500,2024-10-29,2833
873,382,2024-05-27,1743
874,439,2024-06-22,7453
875,190,2024-11-05,3134
876,263,2024-03-07,2772
877,241,2024-08-23,4042
878,240,2024-11-12,1626
879,89,2024-04-02,6150
880,494,2024-06-07,1894
881,369,2024-07-07,3817
882,198,2024-06-26,1453
883,209,2024-10-22,1851
884,78,2024-06-20,1237
885,271,2024-07-13,888
886,296,2024-10-23,2509
887,111,2024-10-27,5091
888,37,2024-07-16,3652
889,184,2024-09-16,188
890,220,2024-08-27,1600
891,453,2024-02-17,2929
892,8,2025-01-01,5177
893,233,2024-05-07,3320
894,381,2024-07-15,1188
895,62,2024-09-28,2033
896,418,2024-09-26,2045
897,483,2024-07-19,4287
898,89,2024-04-10,4668
899,131,2024-04-11,611
900,500,2024-05-08,2745
901,294,2024-08-13,914
902,398,2024-04-08,3939
903,11,2024-03-10,6474
904,225,2024-04-20,1934
905,316,2024-11-19,364
906,281,2024-10-13,3793
907,238,2024-01-18,2760
908,367,2024-03-15,1425
909,160,2024-12-30,601
910,395,2024-11-21,1470
911,411,2024-02-13,1785
912,455,2024-11-25,2760
913,361,2024-10-29,5616
914,324,2024-05-23,3838
915,12,2024-05-17,501
916,308,2024-09-07,164
917,404,2024-10-15,1552
918,264,2024-07-13,6784
919,321,2024-11-24,4560
920,230,2024-05-14,3196
921,179,2024-04-06,1835
922,382,2024-03-28,2109
923,358,2024-09-16,4063
924,474,2024-11-11,1466
925,244,2024-07-31,5622
926,76,2024-05-12,1734
927,277,2024-04-13,2656
928,336,2024-07-09,2228
929,472,2025-01-04,3265
930,314,2024-10-10,1550
931,235,2024-03-05,2514
932,240,2024-02-06,867
933,475,2024-10-01,1113
934,31,2024-09-15,1664
935,215,2024-08-27,942
936,467,2024-05-28,3398
937,142,2024-03-14,883
938,35,2024-07-07,5177
939,204,2024-05-31,445
940,321,2024-05-17,2883
941,354,2024-02-18,1662
942,288,2024-03-11,3128
943,226,2024-02-17,564
944,265,2024-12-27,2989
945,402,2024-06-25,4749
946,22,2024-02-28,1356
947,63,2024-04-17,5410
948,333,2024-09-05,866
949,485,2024-08-27,1758
950,354,2024-09-29,10103
951,255,2024-07-24,614
952,127,2024-02-06,3906
953,473,2024-12-04,962
954,100,2024-11-13,2885
955,227,2024-07-12,5112
956,334,2024-08-26,5713
957,96,2024-08-15,5525
958,127,2024-11-13,4552
959,328,2024-10-14,878
960,288,2024-11-25,1355
961,400,2024-05-03,3976
962,425,2024-10-02,1742
963,190,2024-08-28,4740
964,8,2024-03-18,910
965,54,2024-09-15,3739
966,275,2024-11-03,865
967,236,2024-12-02,2834
968,117,2024-10-15,2355
969,78,2024-07-24,2189
970,364,2024-11-09,1928
971,146,2024-01-16,366
972,232,2024-12-26,5977
973,464,2024-09-07,4235
974,27,2024-09-27,7290
975,353,2024-12-06,1402
976,4,2024-01-21,1312
977,100,2024-07-29,2667
978,278,2024-03-09,2660
979,169,2024-02-11,4313
980,450,2024-10-19,2608
981,464,2024-08-11,2048
982,375,2024-05-23,1388
983,5,2024-12-01,1897
984,21,2024-11-28,2347
985,251,2024-01-22,2782
986,138,2024-02-26,5934
987,222,2024-03-16,3123
988,490,2025-01-06,1382
989,354,2024-01-17,2096
990,409,2024-04-25,3191
991,279,2024-02-04,4911
992,154,2024-09-15,3988
993,269,2024-10-10,6050
994,88,2024-02-08,3442
995,53,2024-03-07,5401
996,315,2024-04-18,1476
997,204,2024-04-08,7166
998,214,2024-02-24,3052
999,224,2024-07-14,723
1000,278,2024-01-15,3442
1001,398,2024-05-19,5371
1002,94,2024-12-29,5169
1003,467,2024-06-22,4169
1004,18,2024-05-19,5160
1005,373,2024-07-10,124
1006,341,2024-03-27,4056
1007,354,2024-10-19,1950
