Freight Order ID,Created at,Creation time,Order ID,Created by
FREIGHT - 00037,20/06/2023,13:14:49,Order - 0060,USER - 03676
FREIGHT - 00038,21/06/2023,09:33:52,Order - 0015,USER - 03676
FREIGHT - 00039,21/06/2023,09:45:56,Order - 0015,USER - 03676
FREIGHT - 00040,21/06/2023,11:09:59,Order - 0018,USER - 03676
FREIGHT - 00041,21/06/2023,15:08:38,Order - 0041,USER - 03676
FREIGHT - 00042,21/06/2023,15:10:11,Order - 0041,USER - 03676
FREIGHT - 00043,22/06/2023,13:14:23,Order - 0061,USER - 03676
FREIGHT - 00044,22/06/2023,13:24:07,Order - 0062,USER - 03676
FREIGHT - 00045,23/06/2023,09:40:07,Order - 0063,USER - 03676
FREIGHT - 00046,26/06/2023,15:39:10,Order - 0067,USER - 03676
FREIGHT - 00047,27/06/2023,14:13:52,Order - 0069,USER - 03676
FREIGHT - 00048,27/06/2023,15:55:36,Order - 0041,USER - 03676
FREIGHT - 00049,27/06/2023,15:57:05,Order - 0041,USER - 03676
FREIGHT - 00050,27/06/2023,16:23:31,Order - 0071,USER - 03676
FREIGHT - 00051,28/06/2023,13:29:27,Order - 0072,USER - 03676
FREIGHT - 00052,28/06/2023,15:27:54,Order - 0041,USER - 03676
FREIGHT - 00053,28/06/2023,15:28:45,Order - 0041,USER - 03676
FREIGHT - 00054,28/06/2023,16:05:51,Order - 0041,USER - 03676
FREIGHT - 00055,28/06/2023,16:19:12,Order - 0041,USER - 03676
FREIGHT - 00056,29/06/2023,11:05:45,Order - 0074,USER - 03676
FREIGHT - 00057,29/06/2023,11:09:11,Order - 0075,USER - 03676
FREIGHT - 00058,29/06/2023,11:13:11,Order - 0076,USER - 03676
FREIGHT - 00059,30/06/2023,12:36:08,Order - 0081,USER - 03676
FREIGHT - 00060,03/07/2023,15:24:58,Order - 0084,USER - 03676
FREIGHT - 00061,03/07/2023,15:28:57,Order - 0085,USER - 03676
FREIGHT - 00062,04/07/2023,11:14:46,Order - 0077,USER - 05724
FREIGHT - 00063,04/07/2023,12:00:15,Order - 0086,USER - 03676
FREIGHT - 00064,04/07/2023,12:03:33,Order - 0087,USER - 03676
FREIGHT - 00065,04/07/2023,12:34:33,Order - 0088,USER - 03676
FREIGHT - 00066,06/07/2023,15:53:07,Order - 0041,USER - 05724
FREIGHT - 00067,06/07/2023,15:54:38,Order - 0041,USER - 03676
FREIGHT - 00068,06/07/2023,15:58:34,Order - 0092,USER - 03676
FREIGHT - 00069,06/07/2023,16:06:07,Order - 0093,USER - 03676
FREIGHT - 00070,07/07/2023,08:30:15,Order - 0094,USER - 03676
FREIGHT - 00071,07/07/2023,08:40:06,Order - 0095,USER - 03676
FREIGHT - 00072,07/07/2023,12:11:44,Order - 0079,USER - 05724
FREIGHT - 00073,07/07/2023,13:08:02,Order - 0015,USER - 03676
FREIGHT - 00074,07/07/2023,13:09:55,Order - 0015,USER - 03676
FREIGHT - 00075,11/07/2023,09:02:59,Order - 0098,USER - 03676
FREIGHT - 00076,11/07/2023,09:09:23,Order - 0099,USER - 03676
FREIGHT - 00077,11/07/2023,12:54:02,Order - 0100,USER - 03676
FREIGHT - 00078,13/07/2023,11:36:33,Order - 0103,USER - 03676
FREIGHT - 00079,14/07/2023,10:55:16,Order - 0015,USER - 03676
FREIGHT - 00080,14/07/2023,10:56:10,Order - 0015,USER - 03676
FREIGHT - 00081,14/07/2023,11:46:08,Order - 0079,USER - 05724
FREIGHT - 00082,14/07/2023,11:58:25,Order - 0079,USER - 03676
FREIGHT - 00083,14/07/2023,12:49:06,Order - 0080,USER - 05724
FREIGHT - 00084,14/07/2023,12:59:09,Order - 0080,USER - 10696
FREIGHT - 00085,18/07/2023,09:59:13,Order - 0105,USER - 03676
FREIGHT - 00086,18/07/2023,10:02:56,Order - 0106,USER - 03676
FREIGHT - 00087,18/07/2023,10:13:26,Order - 0107,USER - 03676
FREIGHT - 00088,21/07/2023,10:43:31,Order - 0015,USER - 05724
FREIGHT - 00089,21/07/2023,10:46:21,Order - 0015,USER - 03676
FREIGHT - 00090,21/07/2023,10:56:30,Order - 0116,USER - 03676
FREIGHT - 00091,24/07/2023,13:53:57,Order - 0117,USER - 03676
FREIGHT - 00092,25/07/2023,09:10:29,Order - 0118,USER - 05724
FREIGHT - 00093,25/07/2023,14:17:40,Order - 0121,USER - 03676
FREIGHT - 00094,25/07/2023,14:33:33,Order - 0122,USER - 03676
FREIGHT - 00095,25/07/2023,14:40:31,Order - 0123,USER - 03676
FREIGHT - 00096,25/07/2023,14:45:25,Order - 0124,USER - 03676
FREIGHT - 00097,26/07/2023,12:16:23,Order - 0016,USER - 05724
FREIGHT - 00098,26/07/2023,12:17:31,Order - 0016,USER - 05724
FREIGHT - 00099,27/07/2023,09:15:24,Order - 0125,USER - 05664
FREIGHT - 00100,28/07/2023,11:40:58,Order - 0126,USER - 03676
FREIGHT - 00101,28/07/2023,11:47:12,Order - 0126,USER - 03676
FREIGHT - 00102,28/07/2023,12:10:06,Order - 0113,USER - 03676
FREIGHT - 00103,28/07/2023,12:11:19,Order - 0113,USER - 03676
FREIGHT - 00104,28/07/2023,12:47:16,Order - 0112,USER - 03676
FREIGHT - 00105,28/07/2023,12:53:37,Order - 0112,USER - 03676
FREIGHT - 00106,31/07/2023,10:52:16,Order - 0114,USER - 05724
FREIGHT - 00107,31/07/2023,11:43:56,Order - 0120,USER - 05724
FREIGHT - 00108,31/07/2023,12:52:37,Order - 0113,USER - 05724
FREIGHT - 00109,31/07/2023,13:00:18,Order - 0112,USER - 05724
FREIGHT - 00110,01/08/2023,14:31:51,Order - 0133,USER - 05664
FREIGHT - 00111,02/08/2023,12:23:59,Order - 0134,USER - 05724
FREIGHT - 00112,03/08/2023,08:17:36,Order - 0016,USER - 05724
FREIGHT - 00113,03/08/2023,08:37:03,Order - 0016,USER - 05724
FREIGHT - 00114,03/08/2023,13:20:27,Order - 0136,USER - 05664
FREIGHT - 00115,07/08/2023,09:49:54,Order - 0135,USER - 05724
FREIGHT - 00116,07/08/2023,11:10:25,Order - 0120,USER - 05724
FREIGHT - 00117,08/08/2023,12:29:44,Order - 0142,USER - 05664
FREIGHT - 00118,08/08/2023,12:38:04,Order - 0143,USER - 05664
FREIGHT - 00119,08/08/2023,12:42:31,Order - 0144,USER - 05664
FREIGHT - 00120,08/08/2023,13:15:18,Order - 0138,USER - 05724
FREIGHT - 00121,09/08/2023,14:28:03,Order - 0148,USER - 05664
FREIGHT - 00122,10/08/2023,08:33:13,Order - 0139,USER - 05724
FREIGHT - 00123,10/08/2023,10:58:27,Order - 0135,USER - 05724
FREIGHT - 00124,10/08/2023,15:02:10,Order - 0149,USER - 05664
FREIGHT - 00125,11/08/2023,10:06:13,Order - 0151,USER - 05664
FREIGHT - 00126,17/08/2023,13:00:30,Order - 0161,USER - 03676
FREIGHT - 00127,17/08/2023,13:07:44,Order - 0162,USER - 03676
FREIGHT - 00128,18/08/2023,11:59:47,Order - 0015,USER - 03676
FREIGHT - 00129,18/08/2023,12:02:43,Order - 0015,USER - 03676
FREIGHT - 00130,21/08/2023,15:23:50,Order - 0170,USER - 03676
FREIGHT - 00131,21/08/2023,16:15:31,Order - 0135,USER - 03676
FREIGHT - 00132,22/08/2023,13:13:23,Order - 0171,USER - 03676
FREIGHT - 00133,23/08/2023,09:10:40,Order - 0135,USER - 03676
FREIGHT - 00134,23/08/2023,12:39:29,Order - 0176,USER - 03676
FREIGHT - 00135,23/08/2023,15:13:38,Order - 0176,USER - 03676
FREIGHT - 00136,23/08/2023,15:15:15,Order - 0135,USER - 03676
FREIGHT - 00137,23/08/2023,15:48:38,Order - 0173,USER - 03676
FREIGHT - 00138,24/08/2023,09:28:44,Order - 0173,USER - 03676
FREIGHT - 00139,24/08/2023,13:53:45,Order - 0178,USER - 03676
FREIGHT - 00140,24/08/2023,14:55:24,Order - 0015,USER - 03676
FREIGHT - 00141,24/08/2023,14:57:41,Order - 0015,USER - 03676
FREIGHT - 00142,24/08/2023,15:03:00,Order - 0177,USER - 03676
FREIGHT - 00143,24/08/2023,15:03:27,Order - 0177,USER - 03676
FREIGHT - 00144,24/08/2023,16:05:29,Order - 0179,USER - 03676
FREIGHT - 00145,24/08/2023,16:10:11,Order - 0180,USER - 03676
FREIGHT - 00146,28/08/2023,12:43:24,Order - 0181,USER - 03676
FREIGHT - 00147,28/08/2023,12:48:23,Order - 0182,USER - 03676
FREIGHT - 00148,28/08/2023,13:17:02,Order - 0041,USER - 03676
FREIGHT - 00149,29/08/2023,09:53:08,Order - 0183,USER - 03676
FREIGHT - 00150,29/08/2023,09:58:17,Order - 0184,USER - 03676
FREIGHT - 00151,30/08/2023,14:16:12,Order - 0193,USER - 03676
FREIGHT - 00152,30/08/2023,14:22:02,Order - 0194,USER - 03676
FREIGHT - 00153,31/08/2023,11:15:19,Order - 0186,USER - 03676
FREIGHT - 00154,31/08/2023,15:22:42,Order - 0195,USER - 03676
FREIGHT - 00155,01/09/2023,08:21:30,Order - 0015,USER - 03676
FREIGHT - 00156,01/09/2023,08:22:41,Order - 0015,USER - 03676
FREIGHT - 00157,01/09/2023,09:15:49,Order - 0135,USER - 03676
FREIGHT - 00158,01/09/2023,09:42:18,Order - 0185,USER - 03676
FREIGHT - 00159,04/09/2023,11:42:17,Order - 0196,USER - 03676
FREIGHT - 00160,05/09/2023,13:07:07,Order - 0197,USER - 05664
FREIGHT - 00161,05/09/2023,13:20:22,Order - 0198,USER - 05664
FREIGHT - 00162,07/09/2023,11:20:49,Order - 0200,USER - 03676
FREIGHT - 00163,07/09/2023,11:50:21,Order - 0201,USER - 03676
FREIGHT - 00164,07/09/2023,11:53:35,Order - 0202,USER - 03676
FREIGHT - 00165,07/09/2023,14:02:31,Order - 0015,USER - 03676
FREIGHT - 00166,07/09/2023,14:03:27,Order - 0015,USER - 03676
FREIGHT - 00167,08/09/2023,08:17:46,Order - 0173,USER - 03676
FREIGHT - 00168,08/09/2023,08:19:45,Order - 0173,USER - 03676
FREIGHT - 00169,08/09/2023,08:50:49,Order - 0208,USER - 03676
FREIGHT - 00170,08/09/2023,09:14:20,Order - 0209,USER - 03676
FREIGHT - 00171,11/09/2023,12:13:23,Order - 0211,USER - 03676
FREIGHT - 00172,11/09/2023,15:30:18,Order - 0212,USER - 03676
FREIGHT - 00173,11/09/2023,15:46:41,Order - 0213,USER - 03676
FREIGHT - 00174,12/09/2023,09:45:55,Order - 0214,USER - 03676
FREIGHT - 00175,12/09/2023,09:50:09,Order - 0215,USER - 03676
FREIGHT - 00176,12/09/2023,11:42:30,Order - 0210,USER - 03676
FREIGHT - 00177,12/09/2023,16:40:34,Order - 0217,USER - 03676
FREIGHT - 00178,14/09/2023,09:26:20,Order - 0219,USER - 03676
FREIGHT - 00179,14/09/2023,09:27:46,Order - 0219,USER - 03676
FREIGHT - 00180,14/09/2023,09:34:53,Order - 0135,USER - 03676
FREIGHT - 00181,14/09/2023,09:37:33,Order - 0135,USER - 03676
FREIGHT - 00182,14/09/2023,09:50:31,Order - 0221,USER - 03676
FREIGHT - 00183,14/09/2023,10:16:21,Order - 0173,USER - 03676
FREIGHT - 00184,14/09/2023,12:46:38,Order - 0216,USER - 03676
FREIGHT - 00185,15/09/2023,11:13:56,Order - 0224,USER - 03676
FREIGHT - 00186,18/09/2023,10:28:34,Order - 0223,USER - 03676
FREIGHT - 00187,18/09/2023,10:40:10,Order - 0223,USER - 03676
FREIGHT - 00188,19/09/2023,10:15:00,Order - 0226,USER - 03676
FREIGHT - 00189,20/09/2023,08:23:56,Order - 0232,USER - 03676
FREIGHT - 00190,20/09/2023,12:09:04,Order - 0227,USER - 03676
FREIGHT - 00191,21/09/2023,11:27:52,Order - 0173,USER - 03676
FREIGHT - 00192,21/09/2023,12:34:09,Order - 0135,USER - 03676
FREIGHT - 00193,21/09/2023,13:17:47,Order - 0233,USER - 03676
FREIGHT - 00194,21/09/2023,13:22:41,Order - 0234,USER - 03676
FREIGHT - 00195,22/09/2023,11:56:03,Order - 0236,USER - 05664
FREIGHT - 00196,22/09/2023,12:44:16,Order - 0120,USER - 05724
FREIGHT - 00197,22/09/2023,12:52:29,Order - 0228,USER - 05724
FREIGHT - 00198,26/09/2023,11:05:37,Order - 0238,USER - 03676
FREIGHT - 00199,26/09/2023,11:15:00,Order - 0239,USER - 03676
FREIGHT - 00200,27/09/2023,08:27:25,Order - 0242,USER - 03676
FREIGHT - 00201,27/09/2023,10:21:56,Order - 0243,USER - 03676
FREIGHT - 00202,28/09/2023,10:01:29,Order - 0247,USER - 03676
FREIGHT - 00203,28/09/2023,10:26:34,Order - 0248,USER - 03676
FREIGHT - 00204,29/09/2023,10:16:22,Order - 0235,USER - 03676
FREIGHT - 00205,29/09/2023,10:21:09,Order - 0173,USER - 03676
FREIGHT - 00206,29/09/2023,12:42:24,Order - 0185,USER - 03676
FREIGHT - 00207,02/10/2023,11:50:47,Order - 0256,USER - 03676
FREIGHT - 00208,02/10/2023,11:56:54,Order - 0257,USER - 03676
FREIGHT - 00209,03/10/2023,09:21:13,Order - 0233,USER - 07901
FREIGHT - 00210,03/10/2023,14:17:10,Order - 0258,USER - 03676
FREIGHT - 00211,04/10/2023,10:17:05,Order - 0252,USER - 03676
FREIGHT - 00212,05/10/2023,12:50:38,Order - 0260,USER - 03676
FREIGHT - 00213,05/10/2023,12:58:04,Order - 0261,USER - 03676
FREIGHT - 00214,06/10/2023,11:59:01,Order - 0173,USER - 03676
FREIGHT - 00215,09/10/2023,12:42:39,Order - 0264,USER - 03676
FREIGHT - 00216,09/10/2023,12:53:57,Order - 0265,USER - 03676
FREIGHT - 00217,09/10/2023,13:01:17,Order - 0266,USER - 03676
FREIGHT - 00218,10/10/2023,13:48:56,Order - 0269,USER - 03676
FREIGHT - 00219,11/10/2023,13:15:35,Order - 0272,USER - 03676
FREIGHT - 00220,11/10/2023,13:20:16,Order - 0273,USER - 03676
FREIGHT - 00221,12/10/2023,12:09:52,Order - 0173,USER - 03676
FREIGHT - 00222,12/10/2023,13:37:46,Order - 0275,USER - 03676
FREIGHT - 00223,12/10/2023,13:49:59,Order - 0276,USER - 03676
FREIGHT - 00224,12/10/2023,13:57:22,Order - 0277,USER - 03676
FREIGHT - 00225,12/10/2023,14:08:59,Order - 0278,USER - 03676
FREIGHT - 00226,13/10/2023,11:00:46,Order - 0259,USER - 03676
FREIGHT - 00227,16/10/2023,09:14:31,Order - 0135,USER - 03676
FREIGHT - 00228,16/10/2023,11:14:58,Order - 0185,USER - 03676
FREIGHT - 00229,16/10/2023,15:39:31,Order - 0281,USER - 03676
FREIGHT - 00230,17/10/2023,08:20:12,Order - 0282,USER - 03676
FREIGHT - 00231,19/10/2023,10:01:36,Order - 0259,USER - 03676
FREIGHT - 00232,19/10/2023,10:24:26,Order - 0284,USER - 03676
FREIGHT - 00233,19/10/2023,10:27:52,Order - 0285,USER - 03676
FREIGHT - 00234,20/10/2023,09:34:33,Order - 0186,USER - 03676
FREIGHT - 00235,20/10/2023,11:04:56,Order - 0259,USER - 03676
FREIGHT - 00236,20/10/2023,11:53:29,Order - 0288,USER - 03676
FREIGHT - 00237,20/10/2023,11:56:39,Order - 0289,USER - 03676
FREIGHT - 00238,24/10/2023,08:53:58,Order - 0293,USER - 03676
FREIGHT - 00239,24/10/2023,09:02:55,Order - 0294,USER - 03676
FREIGHT - 00240,25/10/2023,12:04:38,Order - 0287,USER - 03676
FREIGHT - 00241,25/10/2023,15:35:55,Order - 0185,USER - 03676
FREIGHT - 00242,27/10/2023,10:29:10,Order - 0301,USER - 03676
FREIGHT - 00243,27/10/2023,10:35:42,Order - 0259,USER - 03676
FREIGHT - 00244,27/10/2023,11:01:32,Order - 0173,USER - 03676
FREIGHT - 00245,30/10/2023,14:50:50,Order - 0303,USER - 03676
FREIGHT - 00246,30/10/2023,14:53:41,Order - 0304,USER - 03676
FREIGHT - 00247,31/10/2023,08:21:56,Order - 0135,USER - 03676
FREIGHT - 00248,31/10/2023,08:33:53,Order - 0185,USER - 03676
FREIGHT - 00249,31/10/2023,11:27:45,Order - 0173,USER - 03676
FREIGHT - 00250,31/10/2023,12:14:40,Order - 0309,USER - 03676
FREIGHT - 00251,02/11/2023,10:56:54,Order - 0173,USER - 03676
FREIGHT - 00252,03/11/2023,10:02:26,Order - 0308,USER - 03676
FREIGHT - 00253,06/11/2023,13:01:48,Order - 0311,USER - 03676
FREIGHT - 00254,06/11/2023,13:05:31,Order - 0312,USER - 03676
FREIGHT - 00255,08/11/2023,09:53:56,Order - 0313,USER - 03676
FREIGHT - 00256,08/11/2023,09:56:49,Order - 0314,USER - 03676
FREIGHT - 00257,08/11/2023,10:05:30,Order - 0315,USER - 03676
FREIGHT - 00258,08/11/2023,10:23:47,Order - 0316,USER - 03676
FREIGHT - 00259,09/11/2023,12:08:52,Order - 0319,USER - 03676
FREIGHT - 00260,09/11/2023,15:06:40,Order - 0012,USER - 03676
FREIGHT - 00261,09/11/2023,15:57:00,Order - 0012,USER - 03676
FREIGHT - 00262,10/11/2023,08:19:42,Order - 0324,USER - 03676
FREIGHT - 00263,10/11/2023,08:23:42,Order - 0325,USER - 03676
FREIGHT - 00264,10/11/2023,10:02:52,Order - 0173,USER - 03676
FREIGHT - 00265,10/11/2023,11:05:21,Order - 0318,USER - 03676
FREIGHT - 00266,13/11/2023,12:00:16,Order - 0173,USER - 03676
FREIGHT - 00267,13/11/2023,12:26:54,Order - 0326,USER - 03676
FREIGHT - 00268,13/11/2023,12:33:38,Order - 0327,USER - 03676
FREIGHT - 00269,14/11/2023,09:09:53,Order - 0329,USER - 03676
FREIGHT - 00270,14/11/2023,09:15:35,Order - 0330,USER - 03676
FREIGHT - 00271,16/11/2023,10:43:49,Order - 0173,USER - 03676
FREIGHT - 00272,16/11/2023,12:24:28,Order - 0338,USER - 03676
FREIGHT - 00273,16/11/2023,12:29:48,Order - 0339,USER - 03676
FREIGHT - 00274,16/11/2023,15:28:05,Order - 0340,USER - 03676
FREIGHT - 00275,17/11/2023,08:45:53,Order - 0341,USER - 03676
FREIGHT - 00276,17/11/2023,10:21:35,Order - 0120,USER - 03676
FREIGHT - 00277,21/11/2023,14:04:22,Order - 0362,USER - 05664
FREIGHT - 00278,21/11/2023,14:12:45,Order - 0363,USER - 05664
FREIGHT - 00279,22/11/2023,13:53:38,Order - 0365,USER - 03676
FREIGHT - 00280,23/11/2023,08:28:47,Order - 0378,USER - 03676
FREIGHT - 00281,23/11/2023,09:41:33,Order - 0135,USER - 03676
FREIGHT - 00282,23/11/2023,09:54:15,Order - 0173,USER - 03676
FREIGHT - 00283,23/11/2023,12:19:30,Order - 0337,USER - 03676
FREIGHT - 00284,24/11/2023,08:20:32,Order - 0389,USER - 03676
FREIGHT - 00285,24/11/2023,11:04:18,Order - 0185,USER - 03676
FREIGHT - 00286,27/11/2023,09:29:59,Order - 0390,USER - 03676
FREIGHT - 00287,28/11/2023,09:11:59,Order - 0391,USER - 03676
FREIGHT - 00288,29/11/2023,11:22:26,Order - 0395,USER - 03676
FREIGHT - 00289,29/11/2023,11:24:58,Order - 0173,USER - 03676
FREIGHT - 00290,29/11/2023,11:36:21,Order - 0396,USER - 03676
FREIGHT - 00291,01/12/2023,08:25:54,Order - 0186,USER - 03676
FREIGHT - 00292,04/12/2023,14:53:00,Order - 0186,USER - 03676
FREIGHT - 00293,05/12/2023,11:22:19,Order - 0186,USER - 03676
FREIGHT - 00294,06/12/2023,09:16:17,Order - 0418,USER - 03676
FREIGHT - 00295,06/12/2023,09:19:09,Order - 0419,USER - 03676
FREIGHT - 00296,06/12/2023,09:21:46,Order - 0420,USER - 03676
FREIGHT - 00297,06/12/2023,11:05:15,Order - 0421,USER - 03676
FREIGHT - 00298,08/12/2023,11:14:00,Order - 0427,USER - 03676
FREIGHT - 00299,08/12/2023,11:18:29,Order - 0428,USER - 03676
FREIGHT - 00300,11/12/2023,11:57:46,Order - 0424,USER - 03676
FREIGHT - 00301,14/12/2023,11:49:01,Order - 0173,USER - 03676
FREIGHT - 00302,14/12/2023,12:12:51,Order - 0379,USER - 03676
FREIGHT - 00303,18/12/2023,12:17:52,Order - 0424,USER - 05724
FREIGHT - 00304,19/12/2023,11:45:22,Order - 0495,USER - 03676
FREIGHT - 00305,19/12/2023,13:03:28,Order - 0513,USER - 03676
FREIGHT - 00306,20/12/2023,11:31:04,Order - 0554,USER - 03676
FREIGHT - 00307,20/12/2023,11:36:07,Order - 0555,USER - 03676
FREIGHT - 00308,03/01/2024,12:19:44,Order - 0583,USER - 03676
FREIGHT - 00309,03/01/2024,14:04:41,Order - 0584,USER - 03676
FREIGHT - 00310,04/01/2024,13:23:59,Order - 0585,USER - 03676
FREIGHT - 00311,04/01/2024,13:26:45,Order - 0586,USER - 03676
FREIGHT - 00312,04/01/2024,15:09:18,Order - 0588,USER - 03676
FREIGHT - 00313,04/01/2024,15:15:25,Order - 0589,USER - 03676
FREIGHT - 00314,04/01/2024,15:18:27,Order - 0590,USER - 03676
FREIGHT - 00315,05/01/2024,11:01:17,Order - 0185,USER - 03676
FREIGHT - 00316,11/01/2024,12:27:41,Order - 0379,USER - 03676
FREIGHT - 00317,11/01/2024,14:43:59,Order - 0592,USER - 03676
FREIGHT - 00318,11/01/2024,14:46:57,Order - 0593,USER - 03676
FREIGHT - 00319,12/01/2024,08:28:08,Order - 0595,USER - 03676
FREIGHT - 00320,12/01/2024,09:53:18,Order - 0591,USER - 03676
FREIGHT - 00321,15/01/2024,13:25:58,Order - 0596,USER - 03676
FREIGHT - 00322,16/01/2024,11:06:28,Order - 0597,USER - 03676
FREIGHT - 00323,16/01/2024,11:11:30,Order - 0598,USER - 03676
FREIGHT - 00324,17/01/2024,13:43:30,Order - 0600,USER - 03676
FREIGHT - 00325,18/01/2024,09:03:36,Order - 0185,USER - 03676
FREIGHT - 00326,18/01/2024,11:46:04,Order - 0495,
FREIGHT - 00327,18/01/2024,12:51:35,Order - 0601,USER - 03676
FREIGHT - 00328,18/01/2024,13:07:35,Order - 0602,USER - 03676
FREIGHT - 00329,19/01/2024,09:27:32,Order - 0606,USER - 03676
FREIGHT - 00330,19/01/2024,13:27:38,Order - 0603,USER - 03676
FREIGHT - 00331,22/01/2024,09:28:12,Order - 0607,USER - 03676
FREIGHT - 00332,26/01/2024,11:36:28,Order - 0615,USER - 05664
FREIGHT - 00333,26/01/2024,11:42:06,Order - 0616,USER - 05664
FREIGHT - 00334,29/01/2024,12:58:44,Order - 0622,USER - 05664
FREIGHT - 00335,30/01/2024,11:47:04,Order - 0623,USER - 05664
FREIGHT - 00336,30/01/2024,11:51:39,Order - 0624,USER - 05664
FREIGHT - 00337,31/01/2024,09:43:18,Order - 0654,USER - 03676
FREIGHT - 00338,01/02/2024,15:09:20,Order - 0673,USER - 03676
FREIGHT - 00339,01/02/2024,15:14:04,Order - 0674,USER - 03676
FREIGHT - 00340,02/02/2024,09:56:32,Order - 0186,USER - 03676
FREIGHT - 00341,06/02/2024,09:42:41,Order - 0679,USER - 03676
FREIGHT - 00342,06/02/2024,10:13:51,Order - 0680,USER - 03676
FREIGHT - 00343,06/02/2024,14:45:17,Order - 0655,USER - 03676
FREIGHT - 00344,06/02/2024,14:56:26,Order - 0655,USER - 03676
FREIGHT - 00345,06/02/2024,15:48:07,Order - 0379,USER - 03676
FREIGHT - 00346,07/02/2024,13:41:08,Order - 0684,USER - 03676
FREIGHT - 00347,07/02/2024,13:43:14,Order - 0685,USER - 03676
FREIGHT - 00348,08/02/2024,08:37:28,Order - 0686,USER - 03676
FREIGHT - 00349,08/02/2024,09:24:09,Order - 0688,USER - 03676
FREIGHT - 00350,08/02/2024,12:10:19,Order - 0135,USER - 03676
FREIGHT - 00351,09/02/2024,12:28:35,Order - 0696,USER - 03676
FREIGHT - 00352,09/02/2024,12:43:32,Order - 0695,USER - 03676
FREIGHT - 00353,13/02/2024,11:26:08,Order - 0701,USER - 03676
FREIGHT - 00354,13/02/2024,11:43:30,Order - 0702,USER - 03676
FREIGHT - 00355,13/02/2024,15:17:45,Order - 0703,USER - 03676
FREIGHT - 00356,15/02/2024,12:49:17,Order - 0379,
FREIGHT - 00357,16/02/2024,12:20:20,Order - 0012,USER - 03676
FREIGHT - 00358,16/02/2024,12:48:14,Order - 0739,USER - 03676
FREIGHT - 00359,16/02/2024,12:52:58,Order - 0740,USER - 03676
FREIGHT - 00360,19/02/2024,13:59:59,Order - 0741,USER - 03676
FREIGHT - 00361,20/02/2024,13:03:38,Order - 0746,USER - 03676
FREIGHT - 00362,20/02/2024,13:06:24,Order - 0748,USER - 03676
FREIGHT - 00363,20/02/2024,14:55:05,Order - 0749,USER - 03676
FREIGHT - 00364,21/02/2024,11:56:45,Order - 0767,USER - 03676
FREIGHT - 00365,22/02/2024,08:36:16,Order - 0768,USER - 03676
FREIGHT - 00366,22/02/2024,11:51:01,Order - 0785,USER - 03676
FREIGHT - 00367,22/02/2024,11:55:11,Order - 0786,USER - 03676
FREIGHT - 00368,22/02/2024,13:06:42,Order - 0687,USER - 07760
