Case_ID,Customer_ID,Customer_Name,Customer_Country,Customer_Type,Order_Value,Currency,Order_Type,Company_Code,Delivery_Block,Billing_Block,Event_Type,Event_Time,User,Department,User_Type,Object_ID,Object_Type,Event_Category
Order - 0560,CUST - 010,Customer 10,DE,External,267087.66,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-20 13:43:56.000,USER - 10897,Department 2178,Manual,Order - 0560,Sales order,Main
Order - 0331,CUST - 010,Customer 10,DE,External,1954.68,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-11-14 19:31:28.000,USER - 10897,Department 2178,Manual,Order - 0331,Sales order,Main
Order - 0332,CUST - 010,Customer 10,DE,External,327.6,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-11-14 19:35:28.000,USER - 10897,Department 2178,Manual,Order - 0332,Sales order,Main
Order - 0808,CUST - 010,Customer 10,DE,External,208000,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-02-29 12:15:39.000,USER - 10897,Department 2178,Manual,Order - 0808,Sales order,Main
Order - 0146,CUST - 010,Customer 10,DE,External,3608.64,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-08 15:37:18.000,USER - 10897,Department 2178,Manual,Order - 0146,Sales order,Main
Order - 0147,CUST - 010,Customer 10,DE,External,13293.21,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-08 15:40:30.000,USER - 10897,Department 2178,Manual,Order - 0147,Sales order,Main
Order - 0399,CUST - 010,Customer 10,DE,External,92757.18,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-11-29 14:21:58.000,USER - 10897,Department 2178,Manual,Order - 0399,Sales order,Main
Order - 0270,CUST - 010,Customer 10,DE,External,9397.5,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-10-10 15:41:23.000,USER - 10897,Department 2178,Manual,Order - 0270,Sales order,Main
Order - 1045,CUST - 026,Customer 26,DE,External,41364.74,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-04-19 08:05:10.000,USER - 10897,Department 2178,Manual,Order - 1045,Sales order,Main
Order - 0910,CUST - 026,Customer 26,DE,External,42429.41,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-03-21 09:58:27.000,USER - 10897,Department 2178,Manual,Order - 0910,Sales order,Main
Order - 0575,CUST - 026,Customer 26,DE,External,24031.66,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-22 09:01:20.000,USER - 10897,Department 2178,Manual,Order - 0575,Sales order,Main
Order - 1242,CUST - 026,Customer 26,DE,External,47074.36,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-06-07 15:54:04.000,USER - 10897,Department 2178,Manual,Order - 1242,Sales order,Main
Order - 1215,CUST - 026,Customer 26,DE,External,45458.31,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-05-31 10:30:41.000,USER - 10897,Department 2178,Manual,Order - 1215,Sales order,Main
Order - 1265,CUST - 026,Customer 26,DE,External,44682.76,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-06-13 11:01:02.000,USER - 10897,Department 2178,Manual,Order - 1265,Sales order,Main
Order - 1271,CUST - 026,Customer 26,DE,External,47639.95,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-06-19 10:23:16.000,USER - 10897,Department 2178,Manual,Order - 1271,Sales order,Main
Order - 1272,CUST - 026,Customer 26,DE,External,45227.13,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-06-19 10:27:29.000,USER - 10897,Department 2178,Manual,Order - 1272,Sales order,Main
Order - 0206,CUST - 010,Customer 10,DE,External,7969.08,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-09-07 19:50:51.000,USER - 10897,Department 2178,Manual,Order - 0206,Sales order,Main
Order - 0681,CUST - 010,Customer 10,DE,External,16400,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-02-06 10:36:19.000,USER - 10897,Department 2178,Manual,Order - 0681,Sales order,Main
Order - 0430,CUST - 010,Customer 10,DE,External,5112.24,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-08 14:50:26.000,USER - 10897,Department 2178,Manual,Order - 0430,Sales order,Main
Order - 0574,CUST - 010,Customer 10,DE,External,110000,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-21 15:05:38.000,USER - 10897,Department 2178,Manual,Order - 0574,Sales order,Main
Order - 0577,CUST - 010,Customer 10,DE,External,-326982.84,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-22 15:14:40.000,USER - 10897,Department 2178,Manual,Order - 0577,Sales order,Main
Order - 0604,CUST - 010,Customer 10,DE,External,110000,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-01-18 13:55:08.000,USER - 10897,Department 2178,Manual,Order - 0604,Sales order,Main
Order - 0605,CUST - 010,Customer 10,DE,External,16400,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-01-18 14:29:20.000,USER - 10897,Department 2178,Manual,Order - 0605,Sales order,Main
Order - 0736,CUST - 010,Customer 10,DE,External,10910.88,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-02-15 07:41:42.000,USER - 10897,Department 2178,Manual,Order - 0736,Sales order,Main
Order - 0096,CUST - 010,Customer 10,DE,External,46240.11,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-07-07 11:59:37.000,USER - 10897,Department 2178,Manual,Order - 0096,Sales order,Main
Order - 0097,CUST - 010,Customer 10,DE,External,16464.42,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-07-07 12:14:37.000,USER - 10897,Department 2178,Manual,Order - 0097,Sales order,Main
Order - 0561,CUST - 048,Customer 48,DE,External,27765.96,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-20 13:47:22.000,USER - 10897,Department 2178,Manual,Order - 0561,Sales order,Main
Order - 0559,CUST - 048,Customer 48,DE,External,1467100.37,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-20 13:41:35.000,USER - 10897,Department 2178,Manual,Order - 0559,Sales order,Main
Order - 0578,CUST - 048,Customer 48,DE,External,-12747.84,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-22 15:18:37.000,USER - 10897,Department 2178,Manual,Order - 0578,Sales order,Main
Order - 1572,CUST - 026,Customer 26,DE,External,43505.54,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-08-29 12:15:27.000,USER - 10897,Department 2178,Manual,Order - 1572,Sales order,Main
Order - 1606,CUST - 026,Customer 26,DE,External,37211.04,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-09-10 15:27:48.000,USER - 10897,Department 2178,Manual,Order - 1606,Sales order,Main
Order - 1039,CUST - 023,Customer 23,DE,External,4398.68,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-04-17 10:12:17.000,USER - 00934,Department 486,Manual,Order - 1039,Sales order,Main
Order - 0379,CUST - 023,Customer 23,DE,External,6384,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-11-23 09:52:03.000,USER - 00934,Department 486,Manual,Order - 0379,Sales order,Main
Order - 1597,CUST - 001,Customer 1,FR,External,1116.72,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-09-04 16:36:10.000,USER - 00934,Department 486,Manual,Order - 1597,Sales order,Main
Order - 1663,CUST - 001,Customer 1,FR,External,3111,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-09-25 13:21:00.000,USER - 00934,Department 486,Manual,Order - 1663,Sales order,Main
Order - 0850,CUST - 001,Customer 1,FR,External,248.88,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-03-14 14:02:11.000,USER - 00934,Department 486,Manual,Order - 0850,Sales order,Main
Order - 0787,CUST - 054,Customer 54,CN,Internal,131.84,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-22 13:04:37.000,USER - 00934,Department 486,Manual,Order - 0787,Sales order,Main
Order - 0591,CUST - 005,Customer 5,DE,Internal,145.4,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-01-10 11:09:47.000,USER - 00934,Department 486,Manual,Order - 0591,Sales order,Main
Order - 0687,CUST - 005,Customer 5,DE,Internal,13350.9,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-08 08:54:41.000,USER - 00934,Department 486,Manual,Order - 0687,Sales order,Main
Order - 0318,CUST - 005,Customer 5,DE,Internal,835.9,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-11-09 11:35:33.000,USER - 00934,Department 486,Manual,Order - 0318,Sales order,Main
Order - 0792,CUST - 005,Customer 5,DE,Internal,4457.52,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-27 10:25:50.000,USER - 00934,Department 486,Manual,Order - 0792,Sales order,Main
Order - 0795,CUST - 005,Customer 5,DE,Internal,144.7,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-27 14:25:45.000,USER - 00934,Department 486,Manual,Order - 0795,Sales order,Main
Order - 1062,CUST - 005,Customer 5,DE,Internal,2426,EUR,SO - Standard Order,Company 1,X,X,Create Sales Order,2024-04-24 09:47:19.000,USER - 00934,Department 486,Manual,Order - 1062,Sales order,Main
Order - 0768,CUST - 005,Customer 5,DE,Internal,46796.2,EUR,SO - Standard Order,Company 1,NULL,X,Create Sales Order,2024-02-21 12:13:15.000,USER - 00934,Department 486,Manual,Order - 0768,Sales order,Main
Order - 1240,CUST - 005,Customer 5,DE,Internal,222,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-07 09:00:43.000,USER - 00934,Department 486,Manual,Order - 1240,Sales order,Main
Order - 0993,CUST - 005,Customer 5,DE,Internal,175,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-04-10 11:05:24.000,USER - 00934,Department 486,Manual,Order - 0993,Sales order,Main
Order - 1017,CUST - 005,Customer 5,DE,Internal,434,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-04-12 11:43:11.000,USER - 00934,Department 486,Manual,Order - 1017,Sales order,Main
Order - 1066,CUST - 005,Customer 5,DE,Internal,1041.6,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-04-25 12:17:02.000,USER - 00934,Department 486,Manual,Order - 1066,Sales order,Main
Order - 0603,CUST - 005,Customer 5,DE,Internal,1422.5,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-01-18 13:40:23.000,USER - 00934,Department 486,Manual,Order - 0603,Sales order,Main
Order - 1169,CUST - 005,Customer 5,DE,Internal,136.8,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-05-21 12:55:38.000,USER - 00934,Department 486,Manual,Order - 1169,Sales order,Main
Order - 1189,CUST - 005,Customer 5,DE,Internal,3463.5,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-05-22 08:39:15.000,USER - 00934,Department 486,Manual,Order - 1189,Sales order,Main
Order - 1097,CUST - 005,Customer 5,DE,Internal,3454.5,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-05-08 08:36:31.000,USER - 00934,Department 486,Manual,Order - 1097,Sales order,Main
Order - 1662,CUST - 005,Customer 5,DE,Internal,110.19,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-09-25 09:46:51.000,USER - 00934,Department 486,Manual,Order - 1662,Sales order,Main
Order - 1669,CUST - 005,Customer 5,DE,Internal,2316.6,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-09-26 15:08:56.000,USER - 00934,Department 486,Manual,Order - 1669,Sales order,Main
Order - 1275,CUST - 005,Customer 5,DE,Internal,3434.8,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-19 12:18:29.000,USER - 00934,Department 486,Manual,Order - 1275,Sales order,Main
Order - 1621,CUST - 034,Customer 34,US,External,308.25,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-09-11 19:24:01.000,USER - 02130,Department 2222,Manual,Order - 1621,Sales order,Main
Order - 1622,CUST - 034,Customer 34,US,External,271.95,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-09-11 19:29:03.000,USER - 02130,Department 2222,Manual,Order - 1622,Sales order,Main
Order - 1290,CUST - 034,Customer 34,US,External,308.25,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-19 19:31:44.000,USER - 02130,Department 2222,Manual,Order - 1290,Sales order,Main
Order - 1291,CUST - 034,Customer 34,US,External,1158.55,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-19 19:41:58.000,USER - 02130,Department 2222,Manual,Order - 1291,Sales order,Main
Order - 1297,CUST - 034,Customer 34,US,External,236.2,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-19 21:20:28.000,USER - 02130,Department 2222,Manual,Order - 1297,Sales order,Main
Order - 1298,CUST - 034,Customer 34,US,External,658.6,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-19 21:25:34.000,USER - 02130,Department 2222,Manual,Order - 1298,Sales order,Main
Order - 1299,CUST - 034,Customer 34,US,External,588.2,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-19 21:31:32.000,USER - 02130,Department 2222,Manual,Order - 1299,Sales order,Main
Order - 1178,CUST - 034,Customer 34,US,External,1506.7,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-05-21 20:08:03.000,USER - 02130,Department 2222,Manual,Order - 1178,Sales order,Main
Order - 1320,CUST - 034,Customer 34,US,External,271.95,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-06-28 18:29:53.000,USER - 02130,Department 2222,Manual,Order - 1320,Sales order,Main
Order - 1153,CUST - 034,Customer 34,US,External,424.2,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-05-15 23:04:31.000,USER - 02130,Department 2222,Manual,Order - 1153,Sales order,Main
Order - 1155,CUST - 034,Customer 34,US,External,1392.85,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-05-15 23:24:36.000,USER - 02130,Department 2222,Manual,Order - 1155,Sales order,Main
Order - 1703,CUST - 034,Customer 34,US,External,2292.1,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-10-04 18:25:10.000,USER - 02130,Department 2222,Manual,Order - 1703,Sales order,Main
Order - 1707,CUST - 034,Customer 34,US,External,658.6,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-10-04 18:59:59.000,USER - 02130,Department 2222,Manual,Order - 1707,Sales order,Main
Order - 1709,CUST - 034,Customer 34,US,External,308.25,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-10-04 19:19:09.000,USER - 02130,Department 2222,Manual,Order - 1709,Sales order,Main
Order - 1724,CUST - 034,Customer 34,US,External,1613.4,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-10-09 18:49:55.000,USER - 02130,Department 2222,Manual,Order - 1724,Sales order,Main
Order - 1730,CUST - 034,Customer 34,US,External,869.8,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-10-09 19:55:09.000,USER - 02130,Department 2222,Manual,Order - 1730,Sales order,Main
Order - 1347,CUST - 034,Customer 34,US,External,319.8,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 21:13:46.000,USER - 02130,Department 2222,Manual,Order - 1347,Sales order,Main
Order - 1348,CUST - 034,Customer 34,US,External,812.6,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 21:28:12.000,USER - 02130,Department 2222,Manual,Order - 1348,Sales order,Main
Order - 1349,CUST - 034,Customer 34,US,External,1012.8,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 21:39:13.000,USER - 02130,Department 2222,Manual,Order - 1349,Sales order,Main
Order - 1351,CUST - 034,Customer 34,US,External,869.8,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 21:50:03.000,USER - 02130,Department 2222,Manual,Order - 1351,Sales order,Main
Order - 1355,CUST - 034,Customer 34,US,External,588.2,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 22:10:54.000,USER - 02130,Department 2222,Manual,Order - 1355,Sales order,Main
Order - 1357,CUST - 034,Customer 34,US,External,271.95,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 22:21:42.000,USER - 02130,Department 2222,Manual,Order - 1357,Sales order,Main
Order - 1358,CUST - 034,Customer 34,US,External,319.8,USD,ST - Services / Tooling,Company 2,NULL,NULL,Create Sales Order,2024-07-02 22:36:57.000,USER - 02130,Department 2222,Manual,Order - 1358,Sales order,Main
Order - 0247,CUST - 011,Customer 11,DE,External,18010.08,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-09-28 10:00:11.000,USER - 03676,Department 751,Manual,Order - 0247,Sales order,Main
Order - 0248,CUST - 011,Customer 11,DE,External,34899.66,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-09-28 10:21:52.000,USER - 03676,Department 751,Manual,Order - 0248,Sales order,Main
Order - 0739,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-16 12:46:23.000,USER - 03676,Department 751,Manual,Order - 0739,Sales order,Main
Order - 0740,CUST - 011,Customer 11,DE,External,41678.78,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-16 12:51:46.000,USER - 03676,Department 751,Manual,Order - 0740,Sales order,Main
Order - 0741,CUST - 011,Customer 11,DE,External,18207.12,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-02-19 13:58:07.000,USER - 03676,Department 751,Manual,Order - 0741,Sales order,Main
Order - 1198,CUST - 011,Customer 11,DE,External,42166.4,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-05-27 11:45:36.000,USER - 03676,Department 751,Manual,Order - 1198,Sales order,Main
Order - 1200,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-05-29 13:33:45.000,USER - 03676,Department 751,Manual,Order - 1200,Sales order,Main
Order - 1218,CUST - 011,Customer 11,DE,External,20730.86,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-04 13:51:50.000,USER - 03676,Department 751,Manual,Order - 1218,Sales order,Main
Order - 1219,CUST - 011,Customer 11,DE,External,11046.58,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-04 13:54:58.000,USER - 03676,Department 751,Manual,Order - 1219,Sales order,Main
Order - 1234,CUST - 011,Customer 11,DE,External,22687.7,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-05 09:47:50.000,USER - 03676,Department 751,Manual,Order - 1234,Sales order,Main
Order - 1235,CUST - 011,Customer 11,DE,External,19001.28,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2024-06-05 09:56:49.000,USER - 03676,Department 751,Manual,Order - 1235,Sales order,Main
Order - 0256,CUST - 011,Customer 11,DE,External,9771.96,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-02 11:48:50.000,USER - 03676,Department 751,Manual,Order - 0256,Sales order,Main
Order - 0257,CUST - 011,Customer 11,DE,External,15700.1,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-02 11:53:44.000,USER - 03676,Department 751,Manual,Order - 0257,Sales order,Main
Order - 0258,CUST - 011,Customer 11,DE,External,33987.14,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-03 14:12:22.000,USER - 03676,Department 751,Manual,Order - 0258,Sales order,Main
Order - 0260,CUST - 011,Customer 11,DE,External,22353.22,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-05 12:47:02.000,USER - 03676,Department 751,Manual,Order - 0260,Sales order,Main
Order - 0261,CUST - 011,Customer 11,DE,External,19708.44,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-05 12:51:59.000,USER - 03676,Department 751,Manual,Order - 0261,Sales order,Main
Order - 0264,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-09 12:39:31.000,USER - 03676,Department 751,Manual,Order - 0264,Sales order,Main
Order - 0265,CUST - 011,Customer 11,DE,External,30451.92,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-09 12:44:06.000,USER - 03676,Department 751,Manual,Order - 0265,Sales order,Main
Order - 0266,CUST - 011,Customer 11,DE,External,9771.96,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-09 12:59:29.000,USER - 03676,Department 751,Manual,Order - 0266,Sales order,Main
Order - 0269,CUST - 011,Customer 11,DE,External,14140.23,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-10 13:45:50.000,USER - 03676,Department 751,Manual,Order - 0269,Sales order,Main
Order - 0272,CUST - 011,Customer 11,DE,External,69.31,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-11 13:08:57.000,USER - 03676,Department 751,Manual,Order - 0272,Sales order,Main
Order - 0273,CUST - 011,Customer 11,DE,External,46481.88,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-11 13:16:47.000,USER - 03676,Department 751,Manual,Order - 0273,Sales order,Main
Order - 0275,CUST - 011,Customer 11,DE,External,653.6,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-12 13:35:15.000,USER - 03676,Department 751,Manual,Order - 0275,Sales order,Main
Order - 0276,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-10-12 13:48:18.000,USER - 03676,Department 751,Manual,Order - 0276,Sales order,Main
Order - 0169,CUST - 011,Customer 11,DE,External,29451.77,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-21 14:13:30.000,USER - 03676,Department 751,Manual,Order - 0169,Sales order,Main
Order - 0170,CUST - 011,Customer 11,DE,External,29250.75,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-21 15:20:48.000,USER - 03676,Department 751,Manual,Order - 0170,Sales order,Main
Order - 0171,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-22 13:12:03.000,USER - 03676,Department 751,Manual,Order - 0171,Sales order,Main
Order - 0178,CUST - 011,Customer 11,DE,External,32016.74,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-24 13:48:42.000,USER - 03676,Department 751,Manual,Order - 0178,Sales order,Main
Order - 0179,CUST - 011,Customer 11,DE,External,1175.76,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-24 16:04:02.000,USER - 03676,Department 751,Manual,Order - 0179,Sales order,Main
Order - 0180,CUST - 011,Customer 11,DE,External,10628.24,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-24 16:08:34.000,USER - 03676,Department 751,Manual,Order - 0180,Sales order,Main
Order - 0181,CUST - 011,Customer 11,DE,External,48960,EUR,SO - Standard Order,Company 1,NULL,NULL,Create Sales Order,2023-08-28 12:42:10.000,USER - 03676,Department 751,Manual,Order - 0181,Sales order,Main
