Order ID,Creation Date,Creation Time,Customer ID,Order Value,Currency,Order Type,User,Requested Delivery Date,Delivery Block,Billing Block,Company Code
Order - 0023,30/05/2023,16:07:51,CUST - 010,301.85,EUR,SO,USER - 03640,31/05/2023,,,Company 1
Order - 0024,30/05/2023,20:42:28,CUST - 004,32292.64,EUR,ST,USER - 10897,30/05/2023,,,Company 1
Order - 0025,31/05/2023,13:17:33,CUST - 011,13107.6,EUR,SO,USER - 03676,01/06/2023,,,Company 1
Order - 0026,31/05/2023,13:35:32,CUST - 011,15573.74,EUR,SO,USER - 03676,01/06/2023,,,Company 1
Order - 0027,31/05/2023,13:49:51,CUST - 001,55000,EUR,ST,USER - 04201,03/07/2023,,,Company 1
Order - 0028,31/05/2023,14:14:05,CUST - 001,11000,EUR,ST,USER - 04201,03/07/2023,,,Company 1
Order - 0029,31/05/2023,18:52:39,CUST - 006,4830.5,PLN,ST,USER - 10897,31/05/2023,,,Company 1
Order - 0030,31/05/2023,19:30:14,CUST - 004,31837.36,EUR,ST,USER - 10897,31/05/2023,,,Company 1
Order - 0031,02/06/2023,11:44:42,CUST - 011,26253.48,EUR,SO,USER - 03676,03/06/2023,,,Company 1
Order - 0032,02/06/2023,13:14:38,CUST - 011,25148.8,EUR,SO,USER - 03676,03/06/2023,,,Company 1
Order - 0033,05/06/2023,12:04:24,CUST - 011,48960,EUR,SO,USER - 03676,06/06/2023,,,Company 1
Order - 0034,06/06/2023,09:38:15,CUST - 007,1841.1,EUR,SO,USER - 05682,04/06/2023,,,Company 1
Order - 0035,06/06/2023,13:02:31,CUST - 011,3421.44,EUR,SO,USER - 03676,07/06/2023,,,Company 1
Order - 0036,06/06/2023,13:11:04,CUST - 001,17513,EUR,ST,USER - 10897,07/06/2023,,,Company 1
Order - 0037,06/06/2023,14:14:53,CUST - 001,5677,EUR,ST,USER - 10897,06/06/2023,,,Company 1
Order - 0038,06/06/2023,14:55:20,CUST - 001,4710,EUR,ST,USER - 10897,06/06/2023,,,Company 1
Order - 0039,07/06/2023,08:39:49,CUST - 011,29383.8,EUR,SO,USER - 03676,08/06/2023,,,Company 1
Order - 0040,07/06/2023,08:54:16,CUST - 011,35900.72,EUR,SO,USER - 03676,08/06/2023,,,Company 1
Order - 0041,07/06/2023,11:11:34,CUST - 005,35213.56,EUR,SO,USER - 05682,07/07/2023,,X,Company 1
Order - 0042,07/06/2023,13:35:56,CUST - 008,2219,PLN,ST,USER - 10897,07/06/2023,,,Company 1
Order - 0043,07/06/2023,13:53:07,CUST - 004,35841.67,EUR,ST,USER - 10897,08/06/2023,,,Company 1
Order - 0044,07/06/2023,14:11:54,CUST - 006,7370.3,PLN,ST,USER - 10897,08/06/2023,,,Company 1
Order - 0045,09/06/2023,09:42:51,CUST - 011,26253.48,EUR,SO,USER - 03676,10/06/2023,,,Company 1
Order - 0046,12/06/2023,13:03:11,CUST - 004,32436.68,EUR,ST,USER - 10897,13/06/2023,,,Company 1
Order - 0047,12/06/2023,15:44:47,CUST - 011,30421.24,EUR,SO,USER - 03676,13/06/2023,,,Company 1
Order - 0048,13/06/2023,07:44:42,CUST - 010,120018.99,EUR,ST,USER - 10897,13/06/2023,,,Company 1
Order - 0049,13/06/2023,08:22:53,CUST - 010,8796.06,EUR,ST,USER - 10897,13/06/2023,,,Company 1
Order - 0050,13/06/2023,13:24:49,CUST - 011,16613.52,EUR,SO,USER - 03676,14/06/2023,,,Company 1
Order - 0051,13/06/2023,13:46:56,CUST - 011,48960,EUR,SO,USER - 03676,14/06/2023,,,Company 1
Order - 0052,13/06/2023,13:51:45,CUST - 011,26212.32,EUR,SO,USER - 03676,14/06/2023,,,Company 1
Order - 0053,15/06/2023,10:19:10,CUST - 011,48960,EUR,SO,USER - 03676,16/06/2023,,,Company 1
Order - 0054,15/06/2023,10:26:30,CUST - 011,30430.6,EUR,SO,USER - 03676,16/06/2023,,,Company 1
Order - 0055,18/06/2023,21:17:06,CUST - 006,6553.3,PLN,ST,USER - 10897,20/06/2023,,,Company 1
Order - 0056,20/06/2023,08:07:51,CUST - 004,36136.83,EUR,ST,USER - 10897,21/06/2023,,X,Company 1
Order - 0057,20/06/2023,12:08:50,CUST - 004,36141.58,EUR,ST,USER - 10897,20/06/2023,,,Company 1
Order - 0058,20/06/2023,12:26:23,CUST - 004,35406.53,EUR,ST,USER - 10897,21/06/2023,,,Company 1
Order - 0059,20/06/2023,13:02:44,CUST - 011,29851.52,EUR,SO,USER - 03676,21/06/2023,,,Company 1
Order - 0060,20/06/2023,13:10:29,CUST - 011,21035.82,EUR,SO,USER - 03676,21/06/2023,,,Company 1
Order - 0061,22/06/2023,13:12:53,CUST - 011,48960,EUR,SO,USER - 03676,23/06/2023,,,Company 1
Order - 0062,22/06/2023,13:21:11,CUST - 011,18898.32,EUR,SO,USER - 03676,23/06/2023,,,Company 1
Order - 0063,23/06/2023,09:34:58,CUST - 011,34115.14,EUR,SO,USER - 03676,24/06/2023,,,Company 1
Order - 0064,23/06/2023,15:04:18,CUST - 004,31920.08,EUR,ST,USER - 10897,23/06/2023,,,Company 1
Order - 0065,26/06/2023,12:46:28,CUST - 006,6585.4,PLN,ST,USER - 10897,26/06/2023,,,Company 1
Order - 0066,26/06/2023,13:02:16,CUST - 004,34892.38,EUR,ST,USER - 10897,26/06/2023,,,Company 1
Order - 0067,26/06/2023,15:36:18,CUST - 011,18010.08,EUR,SO,USER - 03676,27/06/2023,,,Company 1
Order - 0068,27/06/2023,13:25:18,CUST - 011,13492.62,EUR,SO,USER - 03676,28/06/2023,,X,Company 1
Order - 0069,27/06/2023,14:11:42,CUST - 011,9771.96,EUR,SO,USER - 10897,28/06/2023,,,Company 1
Order - 0070,27/06/2023,14:08:32,CUST - 012,17748.69,EUR,ST,USER - 03676,28/06/2023,,,Company 1
Order - 0071,27/06/2023,16:19:57,CUST - 011,13492.62,EUR,SO,USER - 03676,28/06/2023,,,Company 1
Order - 0072,28/06/2023,13:28:02,CUST - 011,48960,EUR,SO,USER - 03676,29/06/2023,,,Company 1
Order - 0073,28/06/2023,15:57:48,CUST - 006,8177.7,PLN,ST,USER - 10897,28/06/2023,,,Company 1
Order - 0074,29/06/2023,11:00:56,CUST - 011,18680.4,EUR,SO,USER - 03676,30/06/2023,,,Company 1
Order - 0075,29/06/2023,11:07:54,CUST - 011,26253.48,EUR,SO,USER - 03676,30/06/2023,,,Company 1
Order - 0076,29/06/2023,11:11:15,CUST - 011,28757.84,EUR,SO,USER - 03676,30/06/2023,,,Company 1
Order - 0077,30/06/2023,10:10:35,CUST - 013,388.8,EUR,SO,USER - 03649,05/07/2023,,,Company 1
Order - 0078,30/06/2023,10:31:29,CUST - 005,73694.9,EUR,SO,USER - 03649,30/06/2023,,,Company 1
Order - 0079,30/06/2023,10:55:14,CUST - 005,57019.95,EUR,SO,USER - 03649,08/07/2023,,,Company 1
Order - 0080,30/06/2023,11:02:52,CUST - 005,22362.48,EUR,SO,USER - 03649,15/07/2023,,,Company 1
Order - 0081,30/06/2023,12:34:47,CUST - 011,13177,EUR,SO,USER - 03676,01/07/2023,,,Company 1
Order - 0082,30/06/2023,18:50:07,CUST - 009,500,PLN,ST,USER - 10897,30/06/2023,,,Company 1
Order - 0083,30/06/2023,19:29:57,CUST - 004,35846.99,EUR,ST,USER - 10897,01/07/2023,,,Company 1
Order - 0084,03/07/2023,15:21:34,CUST - 011,26512.34,EUR,SO,USER - 03676,04/07/2023,,,Company 1
Order - 0085,03/07/2023,15:26:55,CUST - 011,14212.34,EUR,SO,USER - 03676,04/07/2023,,,Company 1
Order - 0086,04/07/2023,11:58:48,CUST - 011,9771.96,EUR,SO,USER - 03676,05/07/2023,,,Company 1
Order - 0087,04/07/2023,12:01:42,CUST - 011,11046.58,EUR,SO,USER - 03676,05/07/2023,,,Company 1
Order - 0088,04/07/2023,12:33:48,CUST - 011,48960,EUR,SO,USER - 03676,05/07/2023,,,Company 1
Order - 0089,06/07/2023,11:19:01,CUST - 004,30116.55,EUR,ST,USER - 10897,07/07/2023,,,Company 1
Order - 0090,06/07/2023,11:34:51,CUST - 004,34112.71,EUR,ST,USER - 10897,06/07/2023,,,Company 1
Order - 0091,06/07/2023,11:45:11,CUST - 006,6799.05,PLN,ST,USER - 10897,06/07/2023,,,Company 1
Order - 0092,06/07/2023,15:56:13,CUST - 011,24059.2,EUR,SO,USER - 03676,07/07/2023,,,Company 1
Order - 0093,06/07/2023,16:05:23,CUST - 011,3231.36,EUR,SO,USER - 03676,07/07/2023,,,Company 1
Order - 0094,07/07/2023,08:29:08,CUST - 011,48960,EUR,SO,USER - 03676,08/07/2023,,,Company 1
Order - 0095,07/07/2023,08:36:53,CUST - 011,22379.58,EUR,SO,USER - 03676,08/07/2023,,,Company 1
Order - 0096,07/07/2023,11:59:37,CUST - 010,46240.11,EUR,ST,USER - 10897,07/07/2023,,,Company 1
Order - 0097,07/07/2023,12:14:37,CUST - 010,16464.42,EUR,ST,USER - 10897,08/07/2023,,,Company 1
Order - 0098,11/07/2023,09:00:07,CUST - 011,48960,EUR,SO,USER - 03676,12/07/2023,,,Company 1
Order - 0099,11/07/2023,09:05:55,CUST - 011,31321.04,EUR,SO,USER - 03676,12/07/2023,,,Company 1
Order - 0100,11/07/2023,12:50:08,CUST - 011,117.84,EUR,SO,USER - 03676,12/07/2023,,,Company 1
Order - 0101,11/07/2023,19:34:56,CUST - 004,30303.55,EUR,ST,USER - 10897,11/07/2023,,,Company 1
Order - 0102,11/07/2023,19:42:00,CUST - 008,2848,PLN,ST,USER - 10897,11/07/2023,,,Company 1
Order - 0103,13/07/2023,11:32:59,CUST - 011,29613.72,EUR,SO,USER - 03676,14/07/2023,,,Company 1
Order - 0104,13/07/2023,15:34:08,CUST - 006,4463.4,PLN,ST,USER - 10897,13/07/2023,,,Company 1
Order - 0105,18/07/2023,09:51:21,CUST - 011,23174.98,EUR,SO,USER - 03676,19/07/2023,,,Company 1
Order - 0106,18/07/2023,10:01:31,CUST - 011,48960,EUR,SO,USER - 03676,19/07/2023,,,Company 1
Order - 0107,18/07/2023,10:10:50,CUST - 011,18306.14,EUR,SO,USER - 03676,19/07/2023,,,Company 1
Order - 0108,19/07/2023,12:33:04,CUST - 014,2041,EUR,ST,USER - 10897,23/10/2023,,,Company 1
Order - 0109,19/07/2023,17:47:34,CUST - 004,39666.28,EUR,ST,USER - 10897,20/07/2023,,,Company 1
Order - 0110,19/07/2023,22:15:50,CUST - 004,38633.27,EUR,ST,USER - 10897,20/07/2023,,,Company 1
Order - 0111,19/07/2023,22:20:10,CUST - 006,195,PLN,ST,USER - 10897,20/07/2023,,,Company 1
Order - 0112,20/07/2023,06:56:48,CUST - 005,55463.4,EUR,SO,USER - 03649,01/08/2023,,,Company 1
Order - 0113,20/07/2023,13:05:41,CUST - 005,3697.56,EUR,SO,USER - 03649,29/07/2023,X,X,Company 1
Order - 0114,20/07/2023,13:10:05,CUST - 005,3081.3,EUR,SO,USER - 03649,01/08/2023,,,Company 1
Order - 0115,20/07/2023,14:40:15,CUST - 005,67.75,EUR,SO,USER - 03649,21/07/2023,,,Company 1
Order - 0116,21/07/2023,10:37:49,CUST - 011,23469.36,EUR,SO,USER - 03676,22/07/2023,,,Company 1
Order - 0117,24/07/2023,13:53:05,CUST - 011,48960,EUR,SO,USER - 03676,25/07/2023,,,Company 1
Order - 0118,24/07/2023,14:41:44,CUST - 005,2570,EUR,SO,USER - 03649,26/07/2023,,X,Company 1
Order - 0119,25/07/2023,09:35:37,CUST - 005,65974.4,EUR,SO,USER - 03649,25/07/2023,,X,Company 1
Order - 0120,25/07/2023,12:58:36,CUST - 005,55463.4,EUR,SO,USER - 03649,01/08/2023,,,Company 1
Order - 0121,25/07/2023,14:13:09,CUST - 011,14032.6,EUR,SO,USER - 03676,26/07/2023,,,Company 1
Order - 0122,25/07/2023,14:32:06,CUST - 011,13441.7,EUR,SO,USER - 03676,26/07/2023,,,Company 1
Order - 0123,25/07/2023,14:38:04,CUST - 011,345.12,EUR,SO,USER - 03676,26/07/2023,,,Company 1
Order - 0124,25/07/2023,14:44:16,CUST - 011,1188,EUR,SO,USER - 03676,26/07/2023,,,Company 1
Order - 0125,27/07/2023,09:12:12,CUST - 011,38858.8,EUR,SO,USER - 05664,28/07/2023,,,Company 1
Order - 0126,27/07/2023,11:10:59,CUST - 005,67.75,EUR,SO,USER - 03649,29/07/2023,,,Company 1
Order - 0127,27/07/2023,16:08:20,CUST - 006,5703.2,PLN,ST,USER - 10897,28/07/2023,,,Company 1
Order - 0128,27/07/2023,16:12:10,CUST - 004,39370.26,EUR,ST,USER - 10897,27/07/2023,,,Company 1
Order - 0129,28/07/2023,08:32:51,CUST - 015,95,EUR,ST,USER - 04201,28/07/2023,,,Company 1
Order - 0130,31/07/2023,15:53:28,CUST - 009,500,PLN,ST,USER - 10897,01/08/2023,,,Company 1
Order - 0131,31/07/2023,20:12:36,CUST - 004,31264.27,EUR,ST,USER - 10897,31/07/2023,,,Company 1
Order - 0132,31/07/2023,20:16:29,CUST - 006,4109,PLN,ST,USER - 10897,31/07/2023,,,Company 1
Order - 0133,01/08/2023,14:25:49,CUST - 011,22216.8,EUR,SO,USER - 05664,02/08/2023,,,Company 1
Order - 0134,02/08/2023,10:31:32,CUST - 007,8712,EUR,SO,USER - 03649,03/08/2023,,,Company 1
Order - 0135,03/08/2023,12:18:22,CUST - 005,65974.4,EUR,SO,USER - 03649,11/08/2023,X,X,Company 1
Order - 0136,03/08/2023,13:15:36,CUST - 011,21515.9,EUR,SO,USER - 05664,04/08/2023,,,Company 1
Order - 0137,04/08/2023,09:13:49,CUST - 003,536023,EUR,ST,USER - 10897,05/08/2023,,,Company 1
Order - 0138,07/08/2023,15:08:03,CUST - 016,623,EUR,SO,USER - 03649,09/08/2023,,,Company 1
Order - 0139,08/08/2023,09:41:34,CUST - 005,97.7,EUR,SO,USER - 10897,11/08/2023,,,Company 1
Order - 0140,08/08/2023,09:19:26,CUST - 017,-279772,EUR,ST,USER - 03649,08/08/2023,,,Company 1
Order - 0141,08/08/2023,11:01:28,CUST - 018,-2740.8,EUR,ST,USER - 10897,09/08/2023,,,Company 1
Order - 0142,08/08/2023,12:27:43,CUST - 011,13107.6,EUR,SO,USER - 05664,09/08/2023,,,Company 1
Order - 0143,08/08/2023,12:33:37,CUST - 011,19550.07,EUR,SO,USER - 05664,09/08/2023,,,Company 1
Order - 0144,08/08/2023,12:40:06,CUST - 011,48960,EUR,SO,USER - 05664,09/08/2023,,,Company 1
Order - 0145,08/08/2023,14:48:51,CUST - 006,2248.8,PLN,ST,USER - 10897,09/08/2023,,,Company 1
Order - 0146,08/08/2023,15:37:18,CUST - 010,3608.64,EUR,ST,USER - 10897,09/08/2023,,,Company 1
Order - 0147,08/08/2023,15:40:30,CUST - 010,13293.21,EUR,ST,USER - 10897,09/08/2023,,,Company 1
Order - 0148,09/08/2023,14:26:32,CUST - 011,3317.76,EUR,SO,USER - 05664,10/08/2023,,,Company 1
Order - 0149,10/08/2023,14:20:15,CUST - 011,27325.72,EUR,SO,USER - 05664,11/08/2023,,,Company 1
Order - 0150,10/08/2023,16:07:16,CUST - 006,1082.6,PLN,ST,USER - 10897,11/08/2023,,,Company 1
Order - 0151,11/08/2023,10:00:31,CUST - 011,21804.44,EUR,SO,USER - 05664,12/08/2023,,,Company 1
Order - 0152,16/08/2023,14:29:54,CUST - 019,20.4,EUR,ST,USER - 10897,16/08/2023,,,Company 1
Order - 0153,16/08/2023,14:48:51,CUST - 020,58198.95,EUR,ST,USER - 10897,16/08/2023,,,Company 1
Order - 0154,16/08/2023,15:19:31,CUST - 020,-58198.95,EUR,ST,USER - 10897,17/08/2023,,,Company 1
Order - 0155,16/08/2023,15:42:28,CUST - 014,-890.64,EUR,ST,USER - 10897,17/08/2023,,,Company 1
Order - 0156,16/08/2023,15:50:20,CUST - 014,-5250.96,EUR,ST,USER - 10897,17/08/2023,,,Company 1
Order - 0157,16/08/2023,15:55:14,CUST - 014,-10361.28,EUR,ST,USER - 10897,17/08/2023,,,Company 1
Order - 0158,16/08/2023,15:59:05,CUST - 014,-19299.12,EUR,ST,USER - 10897,17/08/2023,,,Company 1
Order - 0159,16/08/2023,16:07:02,CUST - 014,-39851.28,EUR,ST,USER - 10897,16/08/2023,,,Company 1
Order - 0161,17/08/2023,12:58:28,CUST - 011,48960,EUR,SO,USER - 03676,18/08/2023,,,Company 1
Order - 0162,17/08/2023,13:03:56,CUST - 011,29451.77,EUR,SO,USER - 03676,18/08/2023,,,Company 1
Order - 0163,18/08/2023,13:15:09,CUST - 006,10202.95,PLN,ST,USER - 10897,19/08/2023,,,Company 1
Order - 0164,18/08/2023,14:11:17,CUST - 008,189.01,PLN,ST,USER - 10897,18/08/2023,,,Company 1
Order - 0165,18/08/2023,17:35:29,CUST - 021,-2317.28,EUR,ST,USER - 10897,18/08/2023,,,Company 1
Order - 0166,18/08/2023,17:39:50,CUST - 022,-8012.59,EUR,ST,USER - 10897,18/08/2023,,,Company 1
Order - 0167,21/08/2023,08:07:23,CUST - 001,340000,EUR,ST,USER - 04201,21/08/2023,,,Company 1
Order - 0168,21/08/2023,11:21:43,CUST - 001,140000,EUR,ST,USER - 04201,18/08/2023,,X,Company 1
Order - 0169,21/08/2023,14:13:30,CUST - 011,29451.77,EUR,SO,USER - 03676,21/08/2023,,,Company 1
Order - 0170,21/08/2023,15:20:48,CUST - 011,29250.75,EUR,SO,USER - 03676,22/08/2023,,,Company 1
Order - 0171,22/08/2023,13:12:03,CUST - 011,48960,EUR,SO,USER - 03676,23/08/2023,,,Company 1
Order - 0172,22/08/2023,13:55:27,CUST - 001,140000,EUR,ST,USER - 04201,22/08/2023,,,Company 1
Order - 0173,22/08/2023,15:15:32,CUST - 023,7980,EUR,SO,USER - 05682,15/09/2023,,,Company 1
Order - 0174,22/08/2023,15:44:31,CUST - 004,37859.84,EUR,ST,USER - 10897,22/08/2023,,,Company 1
Order - 0175,22/08/2023,15:48:01,CUST - 004,33448.65,EUR,ST,USER - 10897,23/08/2023,,,Company 1
Order - 0176,22/08/2023,16:10:18,CUST - 024,284.2,EUR,SO,USER - 05682,23/08/2023,,,Company 1
Order - 0177,24/08/2023,12:44:40,CUST - 001,23940,EUR,SO,USER - 05682,26/08/2023,,,Company 1
Order - 0178,24/08/2023,13:48:42,CUST - 011,32016.74,EUR,SO,USER - 03676,25/08/2023,,,Company 1
Order - 0179,24/08/2023,16:04:02,CUST - 011,1175.76,EUR,SO,USER - 03676,25/08/2023,,,Company 1
Order - 0180,24/08/2023,16:08:34,CUST - 011,10628.24,EUR,SO,USER - 03676,25/08/2023,,,Company 1
Order - 0181,28/08/2023,12:42:10,CUST - 011,48960,EUR,SO,USER - 03676,29/08/2023,,,Company 1
Order - 0182,28/08/2023,12:46:49,CUST - 011,18010.08,EUR,SO,USER - 03676,29/08/2023,,,Company 1
Order - 0183,29/08/2023,09:52:10,CUST - 011,18010.08,EUR,SO,USER - 03676,30/08/2023,,,Company 1
Order - 0184,29/08/2023,09:54:05,CUST - 011,18025.56,EUR,SO,USER - 03676,30/08/2023,,,Company 1
Order - 0185,29/08/2023,11:36:48,CUST - 005,22052.4,EUR,SO,USER - 05682,30/09/2023,X,X,Company 1
Order - 0186,29/08/2023,12:37:13,CUST - 005,12960,EUR,SO,USER - 03649,05/12/2023,X,X,Company 1
Order - 0187,29/08/2023,15:22:38,CUST - 006,2733.65,PLN,ST,USER - 10897,30/08/2023,,,Company 1
Order - 0188,29/08/2023,15:37:41,CUST - 004,34021.76,EUR,ST,USER - 10897,30/08/2023,,,Company 1
Order - 0189,29/08/2023,15:42:27,CUST - 006,6594.6,PLN,ST,USER - 10897,29/08/2023,,,Company 1
Order - 0190,29/08/2023,15:45:57,CUST - 004,29613.29,EUR,ST,USER - 10897,30/08/2023,,,Company 1
Order - 0191,29/08/2023,15:49:48,CUST - 009,500,PLN,ST,USER - 10897,30/08/2023,,,Company 1
Order - 0192,30/08/2023,07:24:35,CUST - 025,341000,EUR,ST,USER - 04201,30/08/2023,,,Company 1
Order - 0193,30/08/2023,14:11:40,CUST - 011,35652,EUR,SO,USER - 03676,31/08/2023,,,Company 1
Order - 0194,30/08/2023,14:19:43,CUST - 011,10552.56,EUR,SO,USER - 03676,31/08/2023,,,Company 1
Order - 0195,31/08/2023,15:20:53,CUST - 011,11798.98,EUR,SO,USER - 03676,01/09/2023,,,Company 1
Order - 0196,04/09/2023,11:36:29,CUST - 011,48960,EUR,SO,USER - 03676,05/09/2023,,,Company 1
Order - 0197,05/09/2023,13:04:18,CUST - 011,18366.48,EUR,SO,USER - 05664,06/09/2023,,,Company 1
Order - 0198,05/09/2023,13:14:40,CUST - 011,13423.82,EUR,SO,USER - 05664,06/09/2023,,,Company 1
Order - 0199,05/09/2023,14:42:07,CUST - 026,33355.27,EUR,ST,USER - 10897,06/09/2023,,,Company 1
Order - 0200,07/09/2023,11:15:40,CUST - 011,19388.13,EUR,SO,USER - 03676,08/09/2023,,,Company 1
Order - 0201,07/09/2023,11:46:35,CUST - 011,18096.48,EUR,SO,USER - 03676,08/09/2023,,,Company 1
Order - 0202,07/09/2023,11:51:58,CUST - 011,37992.72,EUR,SO,USER - 03676,08/09/2023,,,Company 1
Order - 0203,07/09/2023,12:38:44,CUST - 027,171235,EUR,ST,USER - 10897,08/09/2023,,,Company 1
Order - 0204,07/09/2023,15:26:28,CUST - 026,35732.8,EUR,ST,USER - 10897,08/09/2023,,,Company 1
Order - 0205,07/09/2023,19:43:58,CUST - 010,8823.75,EUR,ST,USER - 10897,08/09/2023,,,Company 1
Order - 0206,07/09/2023,19:50:51,CUST - 010,7969.08,EUR,ST,USER - 10897,08/09/2023,,,Company 1
Order - 0207,07/09/2023,20:39:22,CUST - 006,7072.45,PLN,ST,USER - 10897,08/09/2023,,,Company 1
Order - 0208,08/09/2023,08:48:34,CUST - 011,48960,EUR,SO,USER - 03676,09/09/2023,,,Company 1
Order - 0209,08/09/2023,09:12:26,CUST - 011,15183.4,EUR,SO,USER - 03676,09/09/2023,,,Company 1
Order - 0210,08/09/2023,15:28:56,CUST - 028,175,EUR,SO,USER - 05682,13/09/2023,,,Company 1
Order - 0211,11/09/2023,12:11:22,CUST - 011,9771.96,EUR,SO,USER - 03676,12/09/2023,,,Company 1
Order - 0212,11/09/2023,15:28:23,CUST - 011,14980.32,EUR,SO,USER - 03676,12/09/2023,,,Company 1
Order - 0213,11/09/2023,15:44:30,CUST - 011,26538.64,EUR,SO,USER - 03676,12/09/2023,,,Company 1
Order - 0214,12/09/2023,09:44:41,CUST - 011,9771.96,EUR,SO,USER - 03676,13/09/2023,,,Company 1
Order - 0215,12/09/2023,09:47:09,CUST - 011,24882.96,EUR,SO,USER - 03676,13/09/2023,,,Company 1
Order - 0216,12/09/2023,16:36:14,CUST - 011,515.44,EUR,SO,USER - 03676,15/09/2023,,,Company 1
Order - 0217,12/09/2023,16:39:09,CUST - 011,2677.53,EUR,SO,USER - 03676,13/09/2023,,,Company 1
Order - 0218,13/09/2023,10:10:40,CUST - 005,40138.74,EUR,FA,USER - 07829,02/09/2023,,,Company 1
Order - 0219,13/09/2023,14:23:42,CUST - 005,274.5,EUR,SO,USER - 05682,15/09/2023,,,Company 1
Order - 0220,14/09/2023,08:33:41,CUST - 026,33757.36,EUR,ST,USER - 10897,14/09/2023,,,Company 1
Order - 0221,14/09/2023,09:48:58,CUST - 011,48960,EUR,SO,USER - 03676,15/09/2023,,,Company 1
Order - 0222,14/09/2023,11:39:30,CUST - 008,249.7,PLN,ST,USER - 10897,14/09/2023,,,Company 1
Order - 0223,15/09/2023,09:49:01,CUST - 002,5439.72,EUR,SO,USER - 05682,19/09/2023,,,Company 1
Order - 0224,15/09/2023,11:10:19,CUST - 011,30488.12,EUR,SO,USER - 03676,16/09/2023,,,Company 1
Order - 0226,19/09/2023,10:11:35,CUST - 011,48960,EUR,SO,USER - 03676,20/09/2023,,,Company 1
Order - 0227,19/09/2023,14:53:20,CUST - 005,175,EUR,SO,USER - 05682,20/09/2023,,,Company 1
Order - 0228,19/09/2023,15:07:29,CUST - 005,22596.2,EUR,SO,USER - 05682,23/09/2023,X,X,Company 1
Order - 0229,19/09/2023,21:22:44,CUST - 026,29556.84,EUR,ST,USER - 10897,20/09/2023,,,Company 1
Order - 0230,19/09/2023,21:26:09,CUST - 026,32603.56,EUR,ST,USER - 10897,20/09/2023,,,Company 1
Order - 0231,19/09/2023,21:28:37,CUST - 006,7690.9,PLN,ST,USER - 10897,20/09/2023,,,Company 1
Order - 0232,20/09/2023,08:20:57,CUST - 011,28663.36,EUR,SO,USER - 03676,21/09/2023,,,Company 1
Order - 0233,21/09/2023,13:15:12,CUST - 011,19247.06,EUR,SO,USER - 03676,22/09/2023,,,Company 1
Order - 0234,21/09/2023,13:19:35,CUST - 011,26685.6,EUR,SO,USER - 03676,22/09/2023,,,Company 1
Order - 0235,22/09/2023,08:35:31,CUST - 005,97.7,EUR,SO,USER - 05682,30/09/2023,,,Company 1
