Delivery ID,Created date,Created time,Order ID,User,Loading date,Customer
Delivery - 0055,07/07/2023,08:29:59,Order - 0094,USER - 03676,20230707,CUST - 011
Delivery - 0056,07/07/2023,08:38:19,Order - 0095,USER - 03676,20230707,CUST - 011
Delivery - 0057,07/07/2023,11:55:50,Order - 0079,USER - 05724,20230707,CUST - 005
Delivery - 0058,07/07/2023,13:07:09,Order - 0015,USER - 03676,20230707,CUST - 001
Delivery - 0059,11/07/2023,09:02:40,Order - 0098,USER - 03676,20230711,CUST - 011
Delivery - 0060,11/07/2023,09:08:34,Order - 0099,USER - 03676,20230711,CUST - 011
Delivery - 0061,11/07/2023,12:53:24,Order - 0100,USER - 03676,20230711,CUST - 011
Delivery - 0062,13/07/2023,11:35:43,Order - 0103,USER - 03676,20230713,CUST - 011
Delivery - 0063,14/07/2023,10:51:08,Order - 0015,USER - 03676,20230714,CUST - 001
Delivery - 0064,14/07/2023,11:45:08,Order - 0079,USER - 05724,20230714,CUST - 005
Delivery - 0065,14/07/2023,12:34:39,Order - 0080,USER - 05724,20230714,CUST - 005
Delivery - 0066,18/07/2023,09:57:56,Order - 0105,USER - 03676,20230718,CUST - 011
Delivery - 0067,18/07/2023,10:02:43,Order - 0106,USER - 03676,20230718,CUST - 011
Delivery - 0068,18/07/2023,10:12:43,Order - 0107,USER - 03676,20230718,CUST - 011
Delivery - 0069,21/07/2023,10:42:23,Order - 0015,USER - 05724,20230721,CUST - 001
Delivery - 0070,21/07/2023,10:55:37,Order - 0116,USER - 03676,20230721,CUST - 011
Delivery - 0071,24/07/2023,13:53:36,Order - 0117,USER - 03676,20230724,CUST - 011
Delivery - 0072,25/07/2023,09:09:15,Order - 0118,USER - 05724,20230725,CUST - 005
Delivery - 0073,25/07/2023,14:17:09,Order - 0121,USER - 03676,20230725,CUST - 011
Delivery - 0074,25/07/2023,14:32:59,Order - 0122,USER - 03676,20230725,CUST - 011
Delivery - 0075,25/07/2023,14:40:07,Order - 0123,USER - 03676,20230725,CUST - 011
Delivery - 0076,25/07/2023,14:45:14,Order - 0124,USER - 03676,20230725,CUST - 011
Delivery - 0077,26/07/2023,12:15:01,Order - 0016,USER - 05724,20230726,CUST - 002
Delivery - 0078,27/07/2023,09:14:28,Order - 0125,USER - 05664,20230727,CUST - 011
Delivery - 0079,28/07/2023,10:51:56,Order - 0129,USER - 03676,20230728,CUST - 015
Delivery - 0080,28/07/2023,11:35:22,Order - 0126,USER - 03676,20230728,CUST - 005
Delivery - 0081,28/07/2023,12:08:03,Order - 0113,USER - 03676,20230728,CUST - 005
Delivery - 0082,28/07/2023,12:36:50,Order - 0112,USER - 03676,20230728,CUST - 005
Delivery - 0083,31/07/2023,10:48:18,Order - 0114,USER - 05724,20230731,CUST - 005
Delivery - 0084,31/07/2023,11:39:17,Order - 0120,USER - 05724,20230731,CUST - 005
Delivery - 0085,31/07/2023,12:50:20,Order - 0113,USER - 05724,20230731,CUST - 005
Delivery - 0086,31/07/2023,12:56:10,Order - 0112,USER - 05724,20230731,CUST - 005
Delivery - 0087,01/08/2023,14:28:33,Order - 0133,USER - 05664,20230801,CUST - 011
Delivery - 0088,02/08/2023,12:23:36,Order - 0134,USER - 05724,20230802,CUST - 007
Delivery - 0089,03/08/2023,08:17:11,Order - 0016,USER - 05724,20230803,CUST - 002
Delivery - 0090,03/08/2023,13:19:22,Order - 0136,USER - 05664,20230803,CUST - 011
Delivery - 0091,07/08/2023,09:46:05,Order - 0135,USER - 05724,20230807,CUST - 005
Delivery - 0092,07/08/2023,11:09:26,Order - 0120,USER - 05724,20230807,CUST - 005
Delivery - 0093,08/08/2023,12:29:00,Order - 0142,USER - 05664,20230808,CUST - 011
Delivery - 0094,08/08/2023,12:36:07,Order - 0143,USER - 05664,20230808,CUST - 011
Delivery - 0095,08/08/2023,12:42:12,Order - 0144,USER - 05664,20230808,CUST - 011
Delivery - 0096,08/08/2023,13:13:55,Order - 0138,USER - 05724,20230808,CUST - 016
Delivery - 0097,09/08/2023,14:27:31,Order - 0148,USER - 05664,20230809,CUST - 011
Delivery - 0098,10/08/2023,08:26:38,Order - 0139,USER - 05724,20230810,CUST - 005
Delivery - 0099,10/08/2023,10:56:30,Order - 0135,USER - 05724,20230810,CUST - 005
Delivery - 0100,10/08/2023,15:00:30,Order - 0149,USER - 05664,20230810,CUST - 011
Delivery - 0101,11/08/2023,10:05:04,Order - 0151,USER - 05664,20230811,CUST - 011
Delivery - 0102,17/08/2023,13:00:02,Order - 0161,USER - 03676,20230817,CUST - 011
Delivery - 0103,17/08/2023,13:06:17,Order - 0162,USER - 03676,20230817,CUST - 011
Delivery - 0104,18/08/2023,11:59:01,Order - 0015,USER - 03676,20230818,CUST - 001
Delivery - 0105,21/08/2023,15:22:32,Order - 0170,USER - 03676,20230821,CUST - 011
Delivery - 0106,21/08/2023,16:12:08,Order - 0135,USER - 03676,20230821,CUST - 005
Delivery - 0107,22/08/2023,13:12:58,Order - 0171,USER - 03676,20230822,CUST - 011
Delivery - 0108,23/08/2023,09:08:28,Order - 0135,USER - 03676,20230823,CUST - 005
Delivery - 0109,23/08/2023,12:33:55,Order - 0176,USER - 03676,20230823,CUST - 024
Delivery - 0110,23/08/2023,15:33:52,Order - 0173,USER - 03676,20230823,CUST - 023
Delivery - 0111,24/08/2023,13:52:58,Order - 0178,USER - 03676,20230824,CUST - 011
Delivery - 0112,24/08/2023,14:42:09,Order - 0015,USER - 03676,20230824,CUST - 001
Delivery - 0113,24/08/2023,15:02:39,Order - 0177,USER - 03676,20230824,CUST - 001
Delivery - 0114,24/08/2023,16:04:57,Order - 0179,USER - 03676,20230824,CUST - 011
Delivery - 0115,24/08/2023,16:09:51,Order - 0180,USER - 03676,20230824,CUST - 011
Delivery - 0116,28/08/2023,12:43:04,Order - 0181,USER - 03676,20230828,CUST - 011
Delivery - 0117,28/08/2023,12:47:58,Order - 0182,USER - 03676,20230828,CUST - 011
Delivery - 0118,28/08/2023,13:11:10,Order - 0041,USER - 03676,20230828,CUST - 005
Delivery - 0119,29/08/2023,09:52:41,Order - 0183,USER - 03676,20230829,CUST - 011
Delivery - 0120,29/08/2023,09:57:18,Order - 0184,USER - 03676,20230829,CUST - 011
Delivery - 0121,30/08/2023,14:15:32,Order - 0193,USER - 03676,20230830,CUST - 011
Delivery - 0122,30/08/2023,14:21:21,Order - 0194,USER - 03676,20230830,CUST - 011
Delivery - 0123,31/08/2023,11:11:26,Order - 0186,USER - 03676,20230831,CUST - 005
Delivery - 0124,31/08/2023,15:22:23,Order - 0195,USER - 03676,20230831,CUST - 011
Delivery - 0125,01/09/2023,08:20:35,Order - 0015,USER - 03676,20230901,CUST - 001
Delivery - 0126,01/09/2023,09:12:07,Order - 0135,USER - 03676,20230901,CUST - 005
Delivery - 0127,01/09/2023,09:40:18,Order - 0185,USER - 03676,20230901,CUST - 005
Delivery - 0128,04/09/2023,11:42:09,Order - 0196,USER - 03676,20230904,CUST - 011
Delivery - 0129,05/09/2023,13:05:55,Order - 0197,USER - 05664,20230905,CUST - 011
Delivery - 0130,05/09/2023,13:19:18,Order - 0198,USER - 05664,20230905,CUST - 011
Delivery - 0131,07/09/2023,11:17:02,Order - 0200,USER - 03676,20230907,CUST - 011
Delivery - 0132,07/09/2023,11:47:34,Order - 0201,USER - 03676,20230907,CUST - 011
Delivery - 0133,07/09/2023,11:52:58,Order - 0202,USER - 03676,20230907,CUST - 011
Delivery - 0134,07/09/2023,14:01:49,Order - 0015,USER - 03676,20230907,CUST - 001
Delivery - 0135,08/09/2023,08:17:17,Order - 0173,USER - 03676,20230908,CUST - 023
Delivery - 0136,08/09/2023,08:49:06,Order - 0208,USER - 03676,20230908,CUST - 011
Delivery - 0137,08/09/2023,09:13:50,Order - 0209,USER - 03676,20230908,CUST - 011
Delivery - 0138,11/09/2023,12:12:41,Order - 0211,USER - 03676,20230911,CUST - 011
Delivery - 0139,11/09/2023,15:29:49,Order - 0212,USER - 03676,20230911,CUST - 011
Delivery - 0140,11/09/2023,15:46:01,Order - 0213,USER - 03676,20230911,CUST - 011
Delivery - 0141,12/09/2023,09:45:19,Order - 0214,USER - 03676,20230912,CUST - 011
Delivery - 0142,12/09/2023,09:49:05,Order - 0215,USER - 03676,20230912,CUST - 011
Delivery - 0143,12/09/2023,11:39:57,Order - 0210,USER - 03676,20230912,CUST - 028
Delivery - 0144,12/09/2023,16:40:01,Order - 0217,USER - 03676,20230912,CUST - 011
Delivery - 0145,14/09/2023,09:25:28,Order - 0219,USER - 03676,20230914,CUST - 005
Delivery - 0146,14/09/2023,09:29:38,Order - 0135,USER - 03676,20230914,CUST - 005
Delivery - 0147,14/09/2023,09:50:16,Order - 0221,USER - 03676,20230914,CUST - 011
Delivery - 0148,14/09/2023,10:15:08,Order - 0173,USER - 03676,20230914,CUST - 023
Delivery - 0149,14/09/2023,12:46:13,Order - 0216,USER - 03676,20230914,CUST - 011
Delivery - 0150,15/09/2023,11:13:08,Order - 0224,USER - 03676,20230915,CUST - 011
Delivery - 0151,18/09/2023,10:22:25,Order - 0223,USER - 03676,20230918,CUST - 002
Delivery - 0152,19/09/2023,10:12:37,Order - 0226,USER - 03676,20230919,CUST - 011
Delivery - 0153,20/09/2023,08:23:03,Order - 0232,USER - 03676,20230920,CUST - 011
Delivery - 0154,20/09/2023,12:08:04,Order - 0227,USER - 03676,20230920,CUST - 005
Delivery - 0155,21/09/2023,11:25:25,Order - 0173,USER - 03676,20230921,CUST - 023
Delivery - 0156,21/09/2023,12:32:13,Order - 0135,USER - 03676,20230921,CUST - 005
Delivery - 0157,21/09/2023,13:16:58,Order - 0233,USER - 03676,20230921,CUST - 011
Delivery - 0158,21/09/2023,13:21:59,Order - 0234,USER - 03676,20230921,CUST - 011
Delivery - 0159,22/09/2023,11:55:30,Order - 0236,USER - 05664,20230922,CUST - 011
Delivery - 0160,22/09/2023,12:42:38,Order - 0120,USER - 05724,20230922,CUST - 005
Delivery - 0161,22/09/2023,12:52:10,Order - 0228,USER - 05724,20230922,CUST - 005
Delivery - 0162,26/09/2023,11:04:56,Order - 0238,USER - 03676,20230926,CUST - 011
Delivery - 0163,26/09/2023,11:09:29,Order - 0239,USER - 03676,20230926,CUST - 011
Delivery - 0164,27/09/2023,08:27:07,Order - 0242,USER - 03676,20230927,CUST - 011
Delivery - 0165,27/09/2023,10:04:00,Order - 0243,USER - 03676,20230927,CUST - 011
Delivery - 0166,28/09/2023,10:01:04,Order - 0247,USER - 03676,20230928,CUST - 011
Delivery - 0167,28/09/2023,10:25:40,Order - 0248,USER - 03676,20230928,CUST - 011
Delivery - 0168,29/09/2023,10:14:32,Order - 0235,USER - 03676,20230929,CUST - 005
Delivery - 0169,29/09/2023,10:20:48,Order - 0173,USER - 03676,20230929,CUST - 023
Delivery - 0170,29/09/2023,12:40:16,Order - 0185,USER - 03676,20230929,CUST - 005
Delivery - 0171,02/10/2023,11:49:54,Order - 0256,USER - 03676,20231002,CUST - 011
Delivery - 0172,02/10/2023,11:55:51,Order - 0257,USER - 03676,20231002,CUST - 011
Delivery - 0173,03/10/2023,14:16:32,Order - 0258,USER - 03676,20231003,CUST - 011
Delivery - 0174,04/10/2023,10:13:44,Order - 0252,USER - 03676,20231004,CUST - 032
Delivery - 0175,05/10/2023,12:49:54,Order - 0260,USER - 03676,20231005,CUST - 011
Delivery - 0176,05/10/2023,12:57:19,Order - 0261,USER - 03676,20231005,CUST - 011
Delivery - 0177,06/10/2023,11:56:47,Order - 0173,USER - 03676,20231006,CUST - 023
Delivery - 0178,09/10/2023,12:42:21,Order - 0264,USER - 03676,20231009,CUST - 011
Delivery - 0179,09/10/2023,12:53:01,Order - 0265,USER - 03676,20231009,CUST - 011
Delivery - 0180,09/10/2023,13:00:38,Order - 0266,USER - 03676,20231009,CUST - 011
Delivery - 0181,10/10/2023,13:48:05,Order - 0269,USER - 03676,20231010,CUST - 011
Delivery - 0182,11/10/2023,13:14:57,Order - 0272,USER - 03676,20231011,CUST - 011
Delivery - 0183,11/10/2023,13:18:59,Order - 0273,USER - 03676,20231011,CUST - 011
Delivery - 0184,12/10/2023,12:08:27,Order - 0173,USER - 03676,20231012,CUST - 023
Delivery - 0185,12/10/2023,13:35:59,Order - 0275,USER - 03676,20231012,CUST - 011
Delivery - 0186,12/10/2023,13:49:46,Order - 0276,USER - 03676,20231012,CUST - 011
Delivery - 0187,12/10/2023,13:56:42,Order - 0277,USER - 03676,20231012,CUST - 011
Delivery - 0188,12/10/2023,14:08:46,Order - 0278,USER - 03676,20231012,CUST - 011
Delivery - 0189,13/10/2023,10:59:37,Order - 0259,USER - 03676,20231013,CUST - 032
Delivery - 0190,16/10/2023,09:11:14,Order - 0135,USER - 03676,20231016,CUST - 005
Delivery - 0191,16/10/2023,11:09:49,Order - 0185,USER - 03676,20231016,CUST - 005
Delivery - 0192,16/10/2023,15:37:36,Order - 0281,USER - 03676,20231016,CUST - 011
Delivery - 0193,17/10/2023,08:18:27,Order - 0282,USER - 03676,20231017,CUST - 011
Delivery - 0194,19/10/2023,09:54:37,Order - 0259,USER - 03676,20231019,CUST - 032
Delivery - 0195,19/10/2023,10:24:07,Order - 0284,USER - 03676,20231019,CUST - 011
Delivery - 0196,19/10/2023,10:27:10,Order - 0285,USER - 03676,20231019,CUST - 011
Delivery - 0197,20/10/2023,09:31:52,Order - 0186,USER - 03676,20231020,CUST - 005
Delivery - 0198,20/10/2023,11:03:09,Order - 0259,USER - 03676,20231020,CUST - 032
Delivery - 0199,20/10/2023,11:52:43,Order - 0288,USER - 03676,20231020,CUST - 011
Delivery - 0200,20/10/2023,11:56:05,Order - 0289,USER - 03676,20231020,CUST - 011
Delivery - 0201,24/10/2023,08:53:43,Order - 0293,USER - 03676,20231024,CUST - 011
Delivery - 0202,24/10/2023,09:01:11,Order - 0294,USER - 03676,20231024,CUST - 011
Delivery - 0203,25/10/2023,12:03:54,Order - 0287,USER - 03676,20231025,CUST - 005
Delivery - 0204,25/10/2023,15:31:47,Order - 0185,USER - 03676,20231025,CUST - 005
Delivery - 0205,27/10/2023,10:28:27,Order - 0301,USER - 03676,20231027,CUST - 011
Delivery - 0206,27/10/2023,10:32:34,Order - 0259,USER - 03676,20231027,CUST - 032
Delivery - 0207,27/10/2023,11:00:25,Order - 0173,USER - 03676,20231027,CUST - 023
Delivery - 0208,30/10/2023,14:50:23,Order - 0303,USER - 03676,20231030,CUST - 011
Delivery - 0209,30/10/2023,14:53:21,Order - 0304,USER - 03676,20231030,CUST - 011
Delivery - 0210,31/10/2023,08:19:08,Order - 0135,USER - 03676,20231031,CUST - 005
Delivery - 0211,31/10/2023,08:32:34,Order - 0185,USER - 03676,20231031,CUST - 005
Delivery - 0212,31/10/2023,11:26:01,Order - 0173,USER - 03676,20231031,CUST - 023
Delivery - 0213,31/10/2023,12:14:06,Order - 0309,USER - 03676,20231031,CUST - 011
Delivery - 0214,02/11/2023,10:34:55,Order - 0173,USER - 03676,20231102,CUST - 023
Delivery - 0215,03/11/2023,10:01:06,Order - 0308,USER - 03676,20231103,CUST - 032
Delivery - 0216,06/11/2023,13:01:33,Order - 0311,USER - 03676,20231106,CUST - 011
Delivery - 0217,06/11/2023,13:04:43,Order - 0312,USER - 03676,20231106,CUST - 011
Delivery - 0218,08/11/2023,09:53:21,Order - 0313,USER - 03676,20231108,CUST - 011
Delivery - 0219,08/11/2023,09:56:05,Order - 0314,USER - 03676,20231108,CUST - 011
Delivery - 0220,08/11/2023,10:04:33,Order - 0315,USER - 03676,20231108,CUST - 011
Delivery - 0221,08/11/2023,10:22:19,Order - 0316,USER - 03676,20231108,CUST - 011
Delivery - 0222,09/11/2023,12:08:33,Order - 0319,USER - 03676,20231109,CUST - 011
Delivery - 0223,09/11/2023,15:05:10,Order - 0012,USER - 03676,20231109,CUST - 005
Delivery - 0224,10/11/2023,08:18:31,Order - 0324,USER - 03676,20231110,CUST - 011
Delivery - 0225,10/11/2023,08:23:20,Order - 0325,USER - 03676,20231110,CUST - 011
Delivery - 0226,10/11/2023,10:01:16,Order - 0173,USER - 03676,20231110,CUST - 023
Delivery - 0227,10/11/2023,11:04:10,Order - 0318,USER - 03676,20231110,CUST - 005
Delivery - 0228,13/11/2023,11:59:43,Order - 0173,USER - 03676,20231113,CUST - 023
Delivery - 0229,13/11/2023,12:22:56,Order - 0326,USER - 03676,20231113,CUST - 011
Delivery - 0230,13/11/2023,12:32:54,Order - 0327,USER - 03676,20231113,CUST - 011
Delivery - 0231,14/11/2023,08:59:56,Order - 0329,USER - 03676,20231114,CUST - 011
Delivery - 0232,14/11/2023,09:15:00,Order - 0330,USER - 03676,20231114,CUST - 011
Delivery - 0233,16/11/2023,10:42:53,Order - 0173,USER - 03676,20231116,CUST - 023
Delivery - 0234,16/11/2023,12:24:15,Order - 0338,USER - 03676,20231116,CUST - 011
Delivery - 0235,16/11/2023,12:26:34,Order - 0339,USER - 03676,20231116,CUST - 011
Delivery - 0236,16/11/2023,15:27:47,Order - 0340,USER - 03676,20231116,CUST - 011
Delivery - 0237,17/11/2023,08:45:33,Order - 0341,USER - 03676,20231117,CUST - 011
Delivery - 0238,17/11/2023,10:20:41,Order - 0120,USER - 03676,20231117,CUST - 005
Delivery - 0239,21/11/2023,14:03:15,Order - 0362,USER - 05664,20231121,CUST - 011
Delivery - 0240,21/11/2023,14:11:44,Order - 0363,USER - 05664,20231121,CUST - 011
Delivery - 0241,22/11/2023,13:53:09,Order - 0365,USER - 03676,20231122,CUST - 011
Delivery - 0242,23/11/2023,08:28:31,Order - 0378,USER - 03676,20231123,CUST - 011
Delivery - 0243,23/11/2023,09:39:27,Order - 0135,USER - 03676,20231123,CUST - 005
Delivery - 0244,23/11/2023,09:53:07,Order - 0173,USER - 03676,20231123,CUST - 023
Delivery - 0245,23/11/2023,12:11:48,Order - 0337,USER - 03676,20231123,CUST - 005
Delivery - 0246,24/11/2023,08:20:03,Order - 0389,USER - 03676,20231124,CUST - 011
Delivery - 0247,24/11/2023,11:02:59,Order - 0185,USER - 03676,20231124,CUST - 005
Delivery - 0248,27/11/2023,09:29:22,Order - 0390,USER - 03676,20231127,CUST - 011
Delivery - 0249,28/11/2023,09:10:53,Order - 0391,USER - 03676,20231128,CUST - 011
Delivery - 0250,29/11/2023,11:22:07,Order - 0395,USER - 03676,20231129,CUST - 011
Delivery - 0251,29/11/2023,11:23:53,Order - 0173,USER - 03676,20231129,CUST - 023
Delivery - 0252,29/11/2023,11:35:34,Order - 0396,USER - 03676,20231129,CUST - 011
Delivery - 0253,01/12/2023,08:22:13,Order - 0186,USER - 03676,20231201,CUST - 005
Delivery - 0254,04/12/2023,14:50:20,Order - 0186,USER - 03676,20231204,CUST - 005
Delivery - 0255,05/12/2023,11:20:22,Order - 0186,USER - 03676,20231205,CUST - 005
Delivery - 0256,06/12/2023,09:14:57,Order - 0418,USER - 03676,20231206,CUST - 011
Delivery - 0257,06/12/2023,09:18:41,Order - 0419,USER - 03676,20231206,CUST - 011
Delivery - 0258,06/12/2023,09:21:13,Order - 0420,USER - 03676,20231206,CUST - 011
Delivery - 0259,06/12/2023,11:04:53,Order - 0421,USER - 03676,20231206,CUST - 011
Delivery - 0260,08/12/2023,11:13:32,Order - 0427,USER - 03676,20231208,CUST - 011
Delivery - 0261,08/12/2023,11:17:35,Order - 0428,USER - 03676,20231208,CUST - 011
Delivery - 0262,11/12/2023,11:53:21,Order - 0424,USER - 03676,20231211,CUST - 032
Delivery - 0263,14/12/2023,11:48:18,Order - 0173,USER - 03676,20231214,CUST - 023
Delivery - 0264,14/12/2023,12:10:51,Order - 0379,USER - 03676,20231214,CUST - 023
Delivery - 0265,18/12/2023,12:15:32,Order - 0424,USER - 05724,20231218,CUST - 032
Delivery - 0266,19/12/2023,11:44:12,Order - 0495,USER - 03676,20231219,CUST - 005
Delivery - 0267,19/12/2023,13:02:57,Order - 0513,USER - 03676,20231219,CUST - 011
Delivery - 0268,20/12/2023,11:27:29,Order - 0554,USER - 03676,20231220,CUST - 011
Delivery - 0269,20/12/2023,11:35:31,Order - 0555,USER - 03676,20231220,CUST - 011
Delivery - 0270,03/01/2024,12:12:10,Order - 0583,USER - 03676,20231228,CUST - 011
Delivery - 0271,03/01/2024,14:04:24,Order - 0584,USER - 03676,20240103,CUST - 011
Delivery - 0272,04/01/2024,13:22:52,Order - 0585,USER - 03676,20240104,CUST - 011
Delivery - 0273,04/01/2024,13:26:13,Order - 0586,USER - 03676,20240104,CUST - 011
Delivery - 0274,04/01/2024,15:08:08,Order - 0588,USER - 03676,20240104,CUST - 011
Delivery - 0275,04/01/2024,15:14:48,Order - 0589,USER - 03676,20240104,CUST - 011
Delivery - 0276,04/01/2024,15:18:03,Order - 0590,USER - 03676,20240104,CUST - 011
Delivery - 0277,05/01/2024,10:57:22,Order - 0185,USER - 03676,20240105,CUST - 005
Delivery - 0278,11/01/2024,12:26:55,Order - 0379,USER - 03676,20240111,CUST - 023
Delivery - 0279,11/01/2024,14:43:41,Order - 0592,USER - 03676,20240111,CUST - 011
Delivery - 0280,11/01/2024,14:46:25,Order - 0593,USER - 03676,20240111,CUST - 011
Delivery - 0281,12/01/2024,08:27:48,Order - 0595,USER - 03676,20240112,CUST - 011
Delivery - 0282,12/01/2024,09:51:56,Order - 0591,USER - 03676,20240112,CUST - 005
Delivery - 0283,15/01/2024,13:24:49,Order - 0596,USER - 03676,20240115,CUST - 011
Delivery - 0284,16/01/2024,11:05:54,Order - 0597,USER - 03676,20240116,CUST - 011
Delivery - 0285,16/01/2024,11:10:43,Order - 0598,USER - 03676,20240116,CUST - 011
Delivery - 0286,17/01/2024,13:42:57,Order - 0600,USER - 03676,20240117,CUST - 011
Delivery - 0287,18/01/2024,09:01:36,Order - 0185,USER - 03676,20240118,CUST - 005
Delivery - 0288,18/01/2024,12:51:14,Order - 0601,USER - 03676,20240118,CUST - 011
Delivery - 0289,18/01/2024,13:07:13,Order - 0602,USER - 03676,20240118,CUST - 011
Delivery - 0290,19/01/2024,09:26:48,Order - 0606,USER - 03676,20240119,CUST - 011
Delivery - 0291,19/01/2024,13:26:57,Order - 0603,USER - 03676,20240119,CUST - 005
Delivery - 0292,22/01/2024,09:27:01,Order - 0607,USER - 03676,20240122,CUST - 011
Delivery - 0293,26/01/2024,11:35:55,Order - 0615,USER - 05664,20240126,CUST - 011
Delivery - 0294,26/01/2024,11:41:40,Order - 0616,USER - 05664,20240126,CUST - 011
Delivery - 0295,29/01/2024,12:57:09,Order - 0622,USER - 05664,20240129,CUST - 011
Delivery - 0296,30/01/2024,11:46:12,Order - 0623,USER - 05664,20240130,CUST - 011
