Order ID,Goods Issue ID,Creation date,Creation time
Order - 0117,GI - 000121,24/07/2023,13:54:22
Order - 0118,GI - 000122,25/07/2023,10:02:22
Order - 0118,GI - 000123,25/07/2023,10:02:22
Order - 0121,GI - 000124,25/07/2023,14:26:11
Order - 0122,GI - 000125,25/07/2023,14:33:51
Order - 0123,GI - 000126,25/07/2023,14:40:48
Order - 0124,GI - 000127,25/07/2023,14:45:39
Order - 0016,GI - 000128,26/07/2023,13:44:10
Order - 0016,GI - 000129,26/07/2023,13:44:10
Order - 0125,GI - 000130,27/07/2023,09:16:01
Order - 0129,GI - 000131,28/07/2023,11:07:37
Order - 0126,GI - 000132,28/07/2023,18:56:12
Order - 0113,GI - 000133,28/07/2023,18:57:35
Order - 0112,GI - 000134,28/07/2023,18:57:44
Order - 0112,GI - 000135,28/07/2023,18:57:44
Order - 0114,GI - 000136,31/07/2023,11:16:43
Order - 0120,GI - 000137,31/07/2023,12:13:50
Order - 0120,GI - 000138,31/07/2023,12:13:50
Order - 0112,GI - 000139,31/07/2023,13:35:18
Order - 0113,GI - 000140,31/07/2023,13:37:23
Order - 0133,GI - 000141,01/08/2023,14:32:40
Order - 0134,GI - 000142,02/08/2023,12:26:39
Order - 0016,GI - 000143,03/08/2023,11:38:27
Order - 0016,GI - 000144,03/08/2023,11:38:27
Order - 0016,GI - 000145,03/08/2023,11:38:27
Order - 0136,GI - 000146,03/08/2023,13:21:14
Order - 0142,GI - 000147,08/08/2023,12:30:22
Order - 0143,GI - 000148,08/08/2023,12:38:25
Order - 0144,GI - 000149,08/08/2023,12:42:49
Order - 0138,GI - 000150,08/08/2023,13:30:31
Order - 0148,GI - 000151,09/08/2023,14:28:25
Order - 0135,GI - 000152,10/08/2023,06:06:22
Order - 0135,GI - 000153,10/08/2023,06:06:22
Order - 0135,GI - 000154,10/08/2023,06:06:22
Order - 0135,GI - 000155,10/08/2023,06:06:22
Order - 0135,GI - 000156,10/08/2023,06:06:22
Order - 0120,GI - 000157,10/08/2023,06:06:42
Order - 0139,GI - 000158,10/08/2023,08:37:13
Order - 0135,GI - 000159,10/08/2023,11:04:31
Order - 0149,GI - 000160,10/08/2023,15:02:32
Order - 0151,GI - 000161,11/08/2023,10:06:32
Order - 0161,GI - 000162,17/08/2023,13:01:00
Order - 0162,GI - 000163,17/08/2023,13:08:33
Order - 0170,GI - 000164,21/08/2023,15:24:04
Order - 0171,GI - 000165,22/08/2023,13:13:39
Order - 0135,GI - 000166,22/08/2023,16:53:25
Order - 0135,GI - 000167,22/08/2023,16:53:25
Order - 0135,GI - 000168,22/08/2023,16:53:25
Order - 0135,GI - 000169,22/08/2023,16:53:25
Order - 0135,GI - 000170,22/08/2023,16:53:25
Order - 0135,GI - 000171,22/08/2023,16:53:25
Order - 0135,GI - 000172,23/08/2023,09:39:11
Order - 0135,GI - 000173,23/08/2023,09:39:11
Order - 0135,GI - 000174,23/08/2023,09:39:11
Order - 0135,GI - 000175,23/08/2023,09:39:11
Order - 0176,GI - 000176,23/08/2023,12:40:22
Order - 0173,GI - 000177,24/08/2023,13:41:37
Order - 0173,GI - 000178,24/08/2023,13:41:37
Order - 0173,GI - 000179,24/08/2023,13:41:37
Order - 0178,GI - 000180,24/08/2023,13:53:59
Order - 0031,GI - 000181,24/08/2023,15:36:35
Order - 0179,GI - 000182,24/08/2023,16:06:16
Order - 0180,GI - 000183,24/08/2023,16:10:21
Order - 0015,GI - 000184,25/08/2023,14:25:26
Order - 0015,GI - 000185,25/08/2023,14:25:26
Order - 0015,GI - 000186,25/08/2023,14:25:26
Order - 0015,GI - 000187,25/08/2023,14:25:26
Order - 0015,GI - 000188,25/08/2023,14:25:26
Order - 0015,GI - 000189,25/08/2023,14:25:26
Order - 0177,GI - 000190,25/08/2023,14:26:52
Order - 0177,GI - 000191,25/08/2023,14:26:52
Order - 0177,GI - 000192,25/08/2023,14:26:52
Order - 0181,GI - 000193,28/08/2023,12:45:48
Order - 0182,GI - 000194,28/08/2023,12:48:37
Order - 0041,GI - 000195,28/08/2023,13:18:33
Order - 0041,GI - 000196,28/08/2023,13:18:33
Order - 0183,GI - 000197,29/08/2023,09:53:17
Order - 0184,GI - 000198,29/08/2023,09:58:31
Order - 0015,GI - 000199,30/08/2023,13:52:52
Order - 0015,GI - 000200,30/08/2023,13:52:52
Order - 0015,GI - 000201,30/08/2023,13:52:52
Order - 0193,GI - 000202,30/08/2023,14:16:25
Order - 0194,GI - 000203,30/08/2023,14:22:17
Order - 0186,GI - 000204,31/08/2023,11:17:01
Order - 0186,GI - 000205,31/08/2023,11:17:01
Order - 0085,GI - 000206,31/08/2023,13:19:22
Order - 0087,GI - 000207,31/08/2023,15:05:12
Order - 0105,GI - 000208,31/08/2023,15:06:44
Order - 0084,GI - 000209,31/08/2023,15:08:58
Order - 0093,GI - 000210,31/08/2023,15:11:32
Order - 0092,GI - 000211,31/08/2023,15:13:20
Order - 0099,GI - 000212,31/08/2023,15:15:42
Order - 0116,GI - 000213,31/08/2023,15:16:56
Order - 0121,GI - 000214,31/08/2023,15:18:29
Order - 0125,GI - 000215,31/08/2023,15:19:37
Order - 0195,GI - 000216,31/08/2023,15:23:33
Order - 0015,GI - 000217,01/09/2023,15:16:36
Order - 0015,GI - 000218,01/09/2023,15:16:36
Order - 0015,GI - 000219,01/09/2023,15:16:36
Order - 0135,GI - 000220,04/09/2023,09:33:45
Order - 0135,GI - 000221,04/09/2023,09:33:45
Order - 0135,GI - 000222,04/09/2023,09:33:45
Order - 0185,GI - 000223,04/09/2023,09:36:00
Order - 0185,GI - 000224,04/09/2023,09:36:00
Order - 0185,GI - 000225,04/09/2023,09:36:00
Order - 0196,GI - 000226,04/09/2023,11:43:09
Order - 0197,GI - 000227,05/09/2023,13:07:37
Order - 0198,GI - 000228,05/09/2023,13:20:36
Order - 0200,GI - 000229,07/09/2023,11:21:04
Order - 0201,GI - 000230,07/09/2023,11:50:31
Order - 0202,GI - 000231,07/09/2023,11:53:55
Order - 0052,GI - 000232,07/09/2023,15:50:42
Order - 0047,GI - 000233,07/09/2023,15:54:01
Order - 0062,GI - 000234,07/09/2023,15:55:19
Order - 0063,GI - 000235,07/09/2023,15:56:00
Order - 0074,GI - 000236,07/09/2023,15:56:25
Order - 0039,GI - 000237,07/09/2023,15:56:48
Order - 0060,GI - 000238,07/09/2023,15:57:00
Order - 0071,GI - 000239,07/09/2023,15:57:07
Order - 0208,GI - 000240,08/09/2023,08:51:35
Order - 0209,GI - 000241,08/09/2023,09:14:32
Order - 0195,GI - 000242,08/09/2023,09:54:14
Order - 0173,GI - 000243,08/09/2023,12:16:08
Order - 0173,GI - 000244,08/09/2023,12:16:08
Order - 0173,GI - 000245,08/09/2023,12:16:08
Order - 0015,GI - 000246,08/09/2023,14:34:07
Order - 0015,GI - 000247,08/09/2023,14:34:07
Order - 0015,GI - 000248,08/09/2023,14:34:07
Order - 0211,GI - 000249,11/09/2023,12:13:34
Order - 0212,GI - 000250,11/09/2023,15:30:27
Order - 0213,GI - 000251,11/09/2023,15:46:52
Order - 0214,GI - 000252,12/09/2023,09:46:07
Order - 0215,GI - 000253,12/09/2023,09:50:18
Order - 0210,GI - 000254,12/09/2023,11:45:00
Order - 0210,GI - 000255,12/09/2023,11:45:00
Order - 0184,GI - 000256,12/09/2023,16:23:23
Order - 0151,GI - 000257,12/09/2023,16:28:01
Order - 0149,GI - 000258,12/09/2023,16:30:07
Order - 0178,GI - 000259,12/09/2023,16:32:45
Order - 0194,GI - 000260,12/09/2023,16:34:02
Order - 0217,GI - 000261,12/09/2023,16:40:44
Order - 0221,GI - 000262,14/09/2023,09:50:45
Order - 0173,GI - 000263,14/09/2023,10:17:19
Order - 0173,GI - 000264,14/09/2023,10:17:19
Order - 0219,GI - 000265,14/09/2023,12:36:24
Order - 0219,GI - 000266,14/09/2023,12:36:24
Order - 0135,GI - 000267,14/09/2023,12:37:41
Order - 0135,GI - 000268,14/09/2023,12:37:41
Order - 0135,GI - 000269,14/09/2023,12:37:41
Order - 0216,GI - 000270,14/09/2023,12:47:05
Order - 0224,GI - 000271,15/09/2023,11:14:06
Order - 0223,GI - 000272,18/09/2023,11:50:23
Order - 0223,GI - 000273,18/09/2023,11:50:23
Order - 0226,GI - 000274,19/09/2023,10:15:18
Order - 0232,GI - 000275,20/09/2023,08:30:10
Order - 0227,GI - 000276,20/09/2023,12:10:27
Order - 0227,GI - 000277,20/09/2023,12:10:27
Order - 0173,GI - 000278,21/09/2023,11:28:45
Order - 0173,GI - 000279,21/09/2023,11:28:45
Order - 0135,GI - 000280,21/09/2023,12:45:13
Order - 0135,GI - 000281,21/09/2023,12:45:13
Order - 0135,GI - 000282,21/09/2023,12:45:13
Order - 0233,GI - 000283,21/09/2023,13:18:12
Order - 0234,GI - 000284,21/09/2023,13:22:51
Order - 0236,GI - 000285,22/09/2023,11:56:20
Order - 0120,GI - 000286,22/09/2023,12:48:05
Order - 0228,GI - 000287,22/09/2023,12:56:02
Order - 0228,GI - 000288,22/09/2023,12:56:02
Order - 0238,GI - 000289,26/09/2023,11:05:52
Order - 0239,GI - 000290,26/09/2023,11:15:44
Order - 0242,GI - 000291,27/09/2023,08:27:38
Order - 0243,GI - 000292,27/09/2023,10:22:07
Order - 0247,GI - 000293,28/09/2023,10:01:41
Order - 0248,GI - 000294,28/09/2023,10:26:47
Order - 0235,GI - 000295,29/09/2023,10:17:20
Order - 0235,GI - 000296,29/09/2023,10:17:20
Order - 0173,GI - 000297,29/09/2023,10:24:02
Order - 0173,GI - 000298,29/09/2023,10:24:02
Order - 0185,GI - 000299,29/09/2023,12:52:35
Order - 0185,GI - 000300,29/09/2023,12:52:35
Order - 0185,GI - 000301,29/09/2023,12:52:35
Order - 0256,GI - 000302,02/10/2023,11:51:19
Order - 0257,GI - 000303,02/10/2023,11:57:06
Order - 0258,GI - 000304,03/10/2023,14:17:22
Order - 0252,GI - 000305,04/10/2023,10:17:51
Order - 0252,GI - 000306,04/10/2023,10:17:51
Order - 0260,GI - 000307,05/10/2023,12:50:50
Order - 0261,GI - 000308,05/10/2023,12:58:13
Order - 0173,GI - 000309,06/10/2023,11:59:45
Order - 0173,GI - 000310,06/10/2023,11:59:45
Order - 0264,GI - 000311,09/10/2023,12:42:52
Order - 0265,GI - 000312,09/10/2023,12:58:04
Order - 0266,GI - 000313,09/10/2023,13:01:26
Order - 0269,GI - 000314,10/10/2023,13:49:14
Order - 0272,GI - 000315,11/10/2023,13:15:48
Order - 0273,GI - 000316,11/10/2023,13:20:30
Order - 0215,GI - 000317,11/10/2023,13:22:35
Order - 0202,GI - 000318,11/10/2023,13:24:05
Order - 0209,GI - 000319,11/10/2023,13:24:46
Order - 0224,GI - 000320,11/10/2023,13:25:49
Order - 0236,GI - 000321,11/10/2023,13:26:31
Order - 0234,GI - 000322,11/10/2023,13:27:01
Order - 0232,GI - 000323,11/10/2023,13:27:49
Order - 0243,GI - 000324,11/10/2023,13:28:21
Order - 0242,GI - 000325,11/10/2023,13:28:56
Order - 0248,GI - 000326,11/10/2023,13:30:01
Order - 0173,GI - 000327,12/10/2023,12:10:33
Order - 0173,GI - 000328,12/10/2023,12:10:33
Order - 0273,GI - 000329,12/10/2023,13:32:47
Order - 0275,GI - 000330,12/10/2023,13:40:19
Order - 0276,GI - 000331,12/10/2023,13:50:18
Order - 0277,GI - 000332,12/10/2023,13:57:32
Order - 0278,GI - 000333,12/10/2023,14:09:07
Order - 0259,GI - 000334,13/10/2023,11:01:42
Order - 0259,GI - 000335,13/10/2023,11:01:42
Order - 0135,GI - 000336,16/10/2023,09:18:32
Order - 0135,GI - 000337,16/10/2023,09:18:32
Order - 0135,GI - 000338,16/10/2023,09:18:32
Order - 0185,GI - 000339,16/10/2023,11:16:21
Order - 0185,GI - 000340,16/10/2023,11:16:21
Order - 0281,GI - 000341,16/10/2023,15:39:48
Order - 0282,GI - 000342,17/10/2023,08:20:30
Order - 0259,GI - 000343,19/10/2023,10:02:45
Order - 0259,GI - 000344,19/10/2023,10:02:45
Order - 0284,GI - 000345,19/10/2023,10:24:39
Order - 0285,GI - 000346,19/10/2023,10:28:05
Order - 0186,GI - 000347,20/10/2023,09:36:01
Order - 0186,GI - 000348,20/10/2023,09:36:01
Order - 0259,GI - 000349,20/10/2023,11:05:40
Order - 0259,GI - 000350,20/10/2023,11:05:40
Order - 0288,GI - 000351,20/10/2023,11:53:41
Order - 0289,GI - 000352,20/10/2023,11:56:46
Order - 0293,GI - 000353,24/10/2023,08:54:36
Order - 0294,GI - 000354,24/10/2023,09:03:06
Order - 0287,GI - 000355,25/10/2023,12:05:24
Order - 0287,GI - 000356,25/10/2023,12:05:24
Order - 0185,GI - 000357,25/10/2023,15:37:14
Order - 0185,GI - 000358,25/10/2023,15:37:14
Order - 0301,GI - 000359,27/10/2023,10:29:21
Order - 0173,GI - 000360,27/10/2023,11:02:37
Order - 0173,GI - 000361,27/10/2023,11:02:37
Order - 0259,GI - 000362,27/10/2023,11:16:06
Order - 0259,GI - 000363,27/10/2023,11:16:06
Order - 0303,GI - 000364,30/10/2023,14:51:01
Order - 0304,GI - 000365,30/10/2023,14:53:51
Order - 0135,GI - 000366,31/10/2023,08:26:23
Order - 0135,GI - 000367,31/10/2023,08:26:23
Order - 0135,GI - 000368,31/10/2023,08:26:23
Order - 0135,GI - 000369,31/10/2023,08:26:23
Order - 0185,GI - 000370,31/10/2023,08:34:48
Order - 0185,GI - 000371,31/10/2023,08:34:48
Order - 0173,GI - 000372,31/10/2023,11:28:30
Order - 0173,GI - 000373,31/10/2023,11:28:30
Order - 0309,GI - 000374,31/10/2023,12:14:55
Order - 0173,GI - 000375,02/11/2023,10:57:39
Order - 0173,GI - 000376,02/11/2023,10:57:39
Order - 0308,GI - 000377,03/11/2023,10:03:18
Order - 0308,GI - 000378,03/11/2023,10:03:18
Order - 0311,GI - 000379,06/11/2023,13:02:01
Order - 0312,GI - 000380,06/11/2023,13:08:52
Order - 0313,GI - 000381,08/11/2023,09:54:11
Order - 0314,GI - 000382,08/11/2023,09:56:59
Order - 0315,GI - 000383,08/11/2023,10:05:43
Order - 0316,GI - 000384,08/11/2023,10:51:53
Order - 0319,GI - 000385,09/11/2023,12:09:01
Order - 0012,GI - 000386,09/11/2023,16:20:00
Order - 0012,GI - 000387,09/11/2023,16:20:00
Order - 0012,GI - 000388,09/11/2023,16:20:00
Order - 0324,GI - 000389,10/11/2023,08:20:49
Order - 0325,GI - 000390,10/11/2023,08:23:50
Order - 0173,GI - 000391,10/11/2023,10:03:25
Order - 0173,GI - 000392,10/11/2023,10:03:25
Order - 0318,GI - 000393,10/11/2023,11:07:32
Order - 0318,GI - 000394,10/11/2023,11:07:32
Order - 0173,GI - 000395,13/11/2023,12:01:00
Order - 0173,GI - 000396,13/11/2023,12:01:00
Order - 0326,GI - 000397,13/11/2023,12:27:06
Order - 0327,GI - 000398,13/11/2023,12:33:55
Order - 0329,GI - 000399,14/11/2023,09:10:43
Order - 0330,GI - 000400,14/11/2023,09:15:46
Order - 0173,GI - 000401,16/11/2023,10:48:04
Order - 0173,GI - 000402,16/11/2023,10:48:04
Order - 0338,GI - 000403,16/11/2023,12:24:35
Order - 0339,GI - 000404,16/11/2023,12:29:56
Order - 0269,GI - 000405,16/11/2023,14:16:56
Order - 0278,GI - 000406,16/11/2023,14:17:57
Order - 0258,GI - 000407,16/11/2023,15:02:48
Order - 0261,GI - 000408,16/11/2023,15:03:56
Order - 0265,GI - 000409,16/11/2023,15:04:34
Order - 0239,GI - 000410,16/11/2023,15:24:42
Order - 0340,GI - 000411,16/11/2023,15:28:52
Order - 0341,GI - 000412,17/11/2023,08:46:00
Order - 0120,GI - 000413,17/11/2023,10:23:54
Order - 0120,GI - 000414,17/11/2023,10:23:54
Order - 0362,GI - 000415,21/11/2023,14:04:45
Order - 0363,GI - 000416,21/11/2023,14:13:10
Order - 0365,GI - 000417,22/11/2023,13:53:58
Order - 0378,GI - 000418,23/11/2023,08:29:40
Order - 0135,GI - 000419,23/11/2023,09:43:44
Order - 0135,GI - 000420,23/11/2023,09:43:44
Order - 0173,GI - 000421,23/11/2023,09:55:17
Order - 0173,GI - 000422,23/11/2023,09:55:17
Order - 0337,GI - 000423,23/11/2023,12:20:15
Order - 0337,GI - 000424,23/11/2023,12:20:15
Order - 0389,GI - 000425,24/11/2023,08:20:41
Order - 0277,GI - 000426,24/11/2023,10:17:13
Order - 0185,GI - 000427,24/11/2023,11:04:59
Order - 0185,GI - 000428,24/11/2023,11:04:59
Order - 0390,GI - 000429,27/11/2023,09:30:09
Order - 0391,GI - 000430,28/11/2023,09:12:15
Order - 0395,GI - 000431,29/11/2023,11:22:45
Order - 0173,GI - 000432,29/11/2023,11:25:34
Order - 0173,GI - 000433,29/11/2023,11:25:34
Order - 0396,GI - 000434,29/11/2023,11:36:35
Order - 0186,GI - 000435,01/12/2023,08:27:32
Order - 0186,GI - 000436,01/12/2023,08:27:32
Order - 0186,GI - 000437,04/12/2023,14:57:03
Order - 0186,GI - 000438,04/12/2023,14:57:03
Order - 0186,GI - 000439,04/12/2023,14:57:03
Order - 0186,GI - 000440,05/12/2023,11:27:54
Order - 0186,GI - 000441,05/12/2023,11:27:54
Order - 0186,GI - 000442,05/12/2023,11:27:54
Order - 0418,GI - 000443,06/12/2023,09:16:33
Order - 0419,GI - 000444,06/12/2023,09:19:20
Order - 0420,GI - 000445,06/12/2023,09:21:57
Order - 0421,GI - 000446,06/12/2023,11:05:27
Order - 0427,GI - 000447,08/12/2023,11:14:10
Order - 0428,GI - 000448,08/12/2023,11:19:52
Order - 0424,GI - 000449,11/12/2023,11:59:04
Order - 0424,GI - 000450,11/12/2023,11:59:04
Order - 0324,GI - 000451,11/12/2023,13:54:41
Order - 0316,GI - 000452,11/12/2023,13:55:49
Order - 0363,GI - 000453,11/12/2023,13:58:34
Order - 0326,GI - 000454,11/12/2023,13:58:47
Order - 0391,GI - 000455,11/12/2023,14:00:30
Order - 0315,GI - 000456,11/12/2023,14:01:41
Order - 0396,GI - 000457,11/12/2023,14:02:45
Order - 0173,GI - 000458,14/12/2023,11:51:32
Order - 0173,GI - 000459,14/12/2023,11:51:32
Order - 0379,GI - 000460,14/12/2023,12:14:46
Order - 0379,GI - 000461,14/12/2023,12:14:46
Order - 0424,GI - 000462,18/12/2023,12:27:21
Order - 0424,GI - 000463,18/12/2023,12:27:21
Order - 0495,GI - 000464,19/12/2023,11:46:33
Order - 0495,GI - 000465,19/12/2023,11:46:33
Order - 0513,GI - 000466,19/12/2023,13:03:53
Order - 0554,GI - 000467,20/12/2023,11:31:17
Order - 0555,GI - 000468,20/12/2023,11:36:17
Order - 0583,GI - 000469,03/01/2024,12:20:19
Order - 0584,GI - 000470,03/01/2024,14:04:55
Order - 0585,GI - 000471,04/01/2024,13:24:14
Order - 0586,GI - 000472,04/01/2024,13:27:17
Order - 0588,GI - 000473,04/01/2024,15:09:26
Order - 0589,GI - 000474,04/01/2024,15:15:35
Order - 0590,GI - 000475,04/01/2024,15:18:36
Order - 0185,GI - 000476,05/01/2024,11:02:46
Order - 0185,GI - 000477,05/01/2024,11:02:46
Order - 0379,GI - 000478,11/01/2024,12:28:23
Order - 0379,GI - 000479,11/01/2024,12:28:23
Order - 0592,GI - 000480,11/01/2024,14:44:11
Order - 0593,GI - 000481,11/01/2024,14:47:05
Order - 0595,GI - 000482,12/01/2024,08:29:05
Order - 0591,GI - 000483,12/01/2024,09:53:58
Order - 0591,GI - 000484,12/01/2024,09:53:58
Order - 0596,GI - 000485,15/01/2024,13:26:10
Order - 0597,GI - 000486,16/01/2024,11:06:36
Order - 0598,GI - 000487,16/01/2024,11:11:44
Order - 0600,GI - 000488,17/01/2024,13:43:42
Order - 0185,GI - 000489,18/01/2024,09:09:33
Order - 0185,GI - 000490,18/01/2024,09:09:33
Order - 0601,GI - 000491,18/01/2024,12:52:24
Order - 0602,GI - 000492,18/01/2024,13:08:12
Order - 0606,GI - 000493,19/01/2024,09:27:42
Order - 0603,GI - 000494,19/01/2024,13:28:10
Order - 0603,GI - 000495,19/01/2024,13:28:10
Order - 0607,GI - 000496,22/01/2024,09:28:23
Order - 0615,GI - 000497,26/01/2024,11:36:55
Order - 0616,GI - 000498,26/01/2024,11:42:24
Order - 0622,GI - 000499,29/01/2024,12:59:58
Order - 0623,GI - 000500,30/01/2024,11:47:26
Order - 0624,GI - 000501,30/01/2024,11:51:59
Order - 0654,GI - 000502,31/01/2024,09:43:43
Order - 0673,GI - 000503,01/02/2024,15:09:33
Order - 0674,GI - 000504,01/02/2024,15:14:11
Order - 0186,GI - 000505,02/02/2024,09:57:09
Order - 0186,GI - 000506,02/02/2024,09:57:09
Order - 0679,GI - 000507,06/02/2024,10:10:07
Order - 0680,GI - 000508,06/02/2024,10:14:04
Order - 0655,GI - 000509,06/02/2024,15:43:25
Order - 0379,GI - 000510,06/02/2024,15:48:53
Order - 0379,GI - 000511,06/02/2024,15:48:53
Order - 0684,GI - 000512,07/02/2024,13:41:17
Order - 0685,GI - 000513,07/02/2024,13:43:22
Order - 0686,GI - 000514,08/02/2024,08:37:44
Order - 0688,GI - 000515,08/02/2024,09:24:36
Order - 0135,GI - 000516,08/02/2024,12:11:24
