Order ID,Invoice Date,Invoice ID,Created by,Payment date,Payment booked by,Customer ID
Order - 0041,27/06/2023 22:00,Invoice - 033,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0069,27/06/2023 22:02,Invoice - 034,USER - 07897,2023-07-26,USER - 07897,CUST - 011
Order - 0071,27/06/2023 22:02,Invoice - 035,USER - 07897,2023-07-26,USER - 07897,CUST - 011
Order - 0041,28/06/2023 22:00,Invoice - 036,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0041,28/06/2023 22:00,Invoice - 037,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0072,28/06/2023 22:02,Invoice - 038,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0074,29/06/2023 22:08,Invoice - 039,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0075,29/06/2023 22:08,Invoice - 040,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0076,29/06/2023 22:08,Invoice - 041,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0081,30/06/2023 22:05,Invoice - 042,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0015,03/07/2023 11:41,Invoice - 043,USER - 04201,2024-01-12,USER - 04201,CUST - 001
Order - 0015,03/07/2023 11:41,Invoice - 044,USER - 04201,2023-09-27,USER - 04201,CUST - 001
Order - 0015,03/07/2023 11:41,Invoice - 045,USER - 04201,,,CUST - 001
Order - 0084,03/07/2023 22:06,Invoice - 046,USER - 07897,2023-08-08,USER - 07897,CUST - 011
Order - 0085,03/07/2023 22:06,Invoice - 047,USER - 07897,2023-08-03,USER - 07897,CUST - 011
Order - 0077,04/07/2023 11:23,Invoice - 048,USER - 04201,2023-11-13,USER - 04201,CUST - 013
Order - 0086,04/07/2023 22:00,Invoice - 049,USER - 07897,2023-08-03,USER - 07897,CUST - 011
Order - 0087,04/07/2023 22:00,Invoice - 050,USER - 07897,2023-08-03,USER - 07897,CUST - 011
Order - 0088,04/07/2023 22:00,Invoice - 051,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0041,06/07/2023 22:00,Invoice - 052,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0092,06/07/2023 22:00,Invoice - 053,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0093,06/07/2023 22:00,Invoice - 054,USER - 07897,2023-08-08,USER - 07897,CUST - 011
Order - 0079,07/07/2023 22:00,Invoice - 055,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0094,07/07/2023 22:03,Invoice - 056,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0095,07/07/2023 22:03,Invoice - 057,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0100,11/07/2023 12:56,Invoice - 058,USER - 04201,2023-08-17,USER - 04201,CUST - 011
Order - 0098,11/07/2023 22:07,Invoice - 059,USER - 07897,2023-08-17,USER - 07897,CUST - 011
Order - 0099,11/07/2023 22:07,Invoice - 060,USER - 07897,2023-08-17,USER - 07897,CUST - 011
Order - 0015,12/07/2023 22:05,Invoice - 061,USER - 07897,2023-09-27,USER - 07897,CUST - 001
Order - 0103,13/07/2023 22:03,Invoice - 062,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0079,14/07/2023 22:00,Invoice - 063,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0080,14/07/2023 22:00,Invoice - 064,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0015,14/07/2023 22:11,Invoice - 065,USER - 07897,,,CUST - 001
Order - 0105,18/07/2023 22:15,Invoice - 066,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0106,18/07/2023 22:15,Invoice - 067,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0107,18/07/2023 22:15,Invoice - 068,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0116,21/07/2023 22:00,Invoice - 069,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0015,21/07/2023 22:02,Invoice - 070,USER - 07897,,,CUST - 001
Order - 0117,24/07/2023 22:01,Invoice - 071,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0118,25/07/2023 22:00,Invoice - 072,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0121,25/07/2023 22:02,Invoice - 073,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0122,25/07/2023 22:02,Invoice - 074,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0123,25/07/2023 22:02,Invoice - 075,USER - 07897,2024-01-26,USER - 07897,CUST - 011
Order - 0124,25/07/2023 22:02,Invoice - 076,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0016,26/07/2023 22:05,Invoice - 077,USER - 07897,2023-09-22,USER - 07897,CUST - 002
Order - 0125,27/07/2023 22:00,Invoice - 078,USER - 07897,2023-08-31,USER - 07897,CUST - 011
Order - 0112,28/07/2023 22:00,Invoice - 079,USER - 07897,2023-07-28,USER - 07897,CUST - 005
Order - 0113,28/07/2023 22:00,Invoice - 080,USER - 07897,2023-07-28,USER - 07897,CUST - 005
Order - 0126,28/07/2023 22:00,Invoice - 081,USER - 07897,2023-09-20,USER - 04201,CUST - 005
Order - 0112,31/07/2023 22:00,Invoice - 082,USER - 07897,2023-07-31,USER - 07897,CUST - 005
Order - 0113,31/07/2023 22:00,Invoice - 083,USER - 07897,2023-07-31,USER - 07897,CUST - 005
Order - 0114,31/07/2023 22:00,Invoice - 084,USER - 07897,2023-09-20,USER - 04201,CUST - 005
Order - 0120,31/07/2023 22:00,Invoice - 085,USER - 07897,2023-07-31,USER - 07897,CUST - 005
Order - 0133,01/08/2023 22:00,Invoice - 086,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0134,02/08/2023 12:36,Invoice - 087,USER - 04201,2023-09-22,USER - 04201,CUST - 007
Order - 0136,03/08/2023 22:00,Invoice - 088,USER - 07897,2023-08-30,USER - 07897,CUST - 011
Order - 0016,03/08/2023 22:03,Invoice - 089,USER - 07897,2023-10-03,USER - 07897,CUST - 002
Order - 0138,08/08/2023 13:39,Invoice - 090,USER - 04201,2023-09-28,USER - 04201,CUST - 016
Order - 0139,08/08/2023 22:00,Invoice - 091,USER - 07897,,,CUST - 005
Order - 0142,08/08/2023 22:00,Invoice - 092,USER - 07897,2023-09-06,USER - 07897,CUST - 011
Order - 0143,08/08/2023 22:00,Invoice - 093,USER - 07897,2023-09-06,USER - 07897,CUST - 011
Order - 0144,08/08/2023 22:00,Invoice - 094,USER - 07897,2023-09-07,USER - 07897,CUST - 011
Order - 0148,09/08/2023 22:00,Invoice - 095,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0139,10/08/2023 22:00,Invoice - 096,USER - 07897,2023-09-20,USER - 07897,CUST - 005
Order - 0120,10/08/2023 22:00,Invoice - 097,USER - 07897,2023-09-20,USER - 07897,CUST - 005
Order - 0135,10/08/2023 22:00,Invoice - 098,USER - 07897,2023-09-20,USER - 07897,CUST - 005
Order - 0135,10/08/2023 22:00,Invoice - 099,USER - 07897,2023-09-20,USER - 07897,CUST - 005
Order - 0149,10/08/2023 22:05,Invoice - 100,USER - 07897,2023-09-07,USER - 07897,CUST - 011
Order - 0151,11/08/2023 22:00,Invoice - 101,USER - 07897,2023-09-27,USER - 07897,CUST - 011
Order - 0161,17/08/2023 22:08,Invoice - 102,USER - 07897,2023-09-14,USER - 07897,CUST - 011
Order - 0162,17/08/2023 22:08,Invoice - 103,USER - 07897,2023-09-14,USER - 07897,CUST - 011
Order - 0148,21/08/2023 22:16,Invoice - 104,USER - 07897,2023-08-09,USER - 07897,CUST - 011
Order - 0170,21/08/2023 22:16,Invoice - 105,USER - 07897,2023-09-27,USER - 07897,CUST - 011
Order - 0148,22/08/2023 15:33,Invoice - 106,USER - 04201,2023-09-06,USER - 04201,CUST - 011
Order - 0135,23/08/2023 07:37,Invoice - 107,USER - 04201,2023-09-20,USER - 04201,CUST - 005
Order - 0171,23/08/2023 07:43,Invoice - 108,USER - 04201,2023-09-21,USER - 04201,CUST - 011
Order - 0176,23/08/2023 09:35,Invoice - 109,USER - 04201,2023-09-15,USER - 04201,CUST - 024
Order - 0135,23/08/2023 09:40,Invoice - 110,USER - 04201,2023-09-20,USER - 04201,CUST - 005
Order - 0176,23/08/2023 12:56,Invoice - 111,USER - 04201,,,CUST - 024
Order - 0173,24/08/2023 15:03,Invoice - 112,USER - 04201,2023-10-25,USER - 04201,CUST - 023
Order - 0178,24/08/2023 15:03,Invoice - 113,USER - 04201,2023-09-27,USER - 04201,CUST - 011
Order - 0179,24/08/2023 22:00,Invoice - 114,USER - 07897,2023-10-19,USER - 07897,CUST - 011
Order - 0180,24/08/2023 22:00,Invoice - 115,USER - 07897,2023-09-28,USER - 07897,CUST - 011
Order - 0015,25/08/2023 22:08,Invoice - 116,USER - 07897,2023-11-30,USER - 07897,CUST - 001
Order - 0177,25/08/2023 22:08,Invoice - 117,USER - 07897,2023-10-24,USER - 07897,CUST - 001
Order - 0041,28/08/2023 22:00,Invoice - 118,USER - 07897,2023-09-20,USER - 07897,CUST - 005
Order - 0181,28/08/2023 22:04,Invoice - 119,USER - 07897,2023-09-21,USER - 07897,CUST - 011
Order - 0182,28/08/2023 22:04,Invoice - 120,USER - 07897,2023-09-28,USER - 07897,CUST - 011
Order - 0183,29/08/2023 22:00,Invoice - 121,USER - 07897,2023-09-28,USER - 07897,CUST - 011
Order - 0184,29/08/2023 22:00,Invoice - 122,USER - 07897,2023-09-28,USER - 07897,CUST - 011
Order - 0193,30/08/2023 22:00,Invoice - 123,USER - 07897,2023-09-21,USER - 07897,CUST - 011
Order - 0194,30/08/2023 22:00,Invoice - 124,USER - 07897,2023-09-21,USER - 07897,CUST - 011
Order - 0015,30/08/2023 22:02,Invoice - 125,USER - 07897,2023-11-30,USER - 07897,CUST - 001
Order - 0186,31/08/2023 13:55,Invoice - 126,USER - 04201,2023-09-20,USER - 04201,CUST - 005
Order - 0195,31/08/2023 15:38,Invoice - 127,USER - 04201,2023-09-27,USER - 04201,CUST - 011
Order - 0139,01/09/2023 08:14,Invoice - 128,USER - 04201,2023-09-20,USER - 04201,CUST - 005
Order - 0015,02/09/2023 22:20,Invoice - 129,USER - 07897,2023-10-31,USER - 07897,CUST - 001
Order - 0185,04/09/2023 22:00,Invoice - 130,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0196,04/09/2023 22:08,Invoice - 131,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0197,05/09/2023 22:07,Invoice - 132,USER - 07897,2023-10-05,USER - 07897,CUST - 011
Order - 0198,05/09/2023 22:07,Invoice - 133,USER - 07897,2023-10-05,USER - 07897,CUST - 011
Order - 0200,07/09/2023 22:07,Invoice - 134,USER - 07897,2023-10-12,USER - 07897,CUST - 011
Order - 0201,07/09/2023 22:07,Invoice - 135,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0202,07/09/2023 22:07,Invoice - 136,USER - 07897,2023-10-30,USER - 07897,CUST - 011
Order - 0173,08/09/2023 12:43,Invoice - 137,USER - 04201,2023-11-08,USER - 04201,CUST - 023
Order - 0208,08/09/2023 12:43,Invoice - 138,USER - 04201,2023-10-26,USER - 04201,CUST - 011
Order - 0209,08/09/2023 12:43,Invoice - 139,USER - 04201,2023-10-30,USER - 04201,CUST - 011
Order - 0015,08/09/2023 22:11,Invoice - 140,USER - 07897,,,CUST - 001
Order - 0211,11/09/2023 22:00,Invoice - 141,USER - 07897,2023-10-12,USER - 07897,CUST - 011
Order - 0212,11/09/2023 22:00,Invoice - 142,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0213,11/09/2023 22:00,Invoice - 143,USER - 07897,2023-10-30,USER - 07897,CUST - 011
Order - 0214,12/09/2023 11:20,Invoice - 144,USER - 04201,2023-10-12,USER - 04201,CUST - 011
Order - 0215,12/09/2023 11:20,Invoice - 145,USER - 04201,2023-10-12,USER - 04201,CUST - 011
Order - 0217,12/09/2023 22:05,Invoice - 146,USER - 07897,2023-09-12,USER - 07897,CUST - 011
Order - 0210,12/09/2023 22:14,Invoice - 147,USER - 07897,2023-10-05,USER - 07897,CUST - 028
Order - 0216,14/09/2023 12:53,Invoice - 148,USER - 04201,2023-10-12,USER - 04201,CUST - 011
Order - 0217,14/09/2023 12:53,Invoice - 149,USER - 04201,2023-09-12,USER - 04201,CUST - 011
Order - 0221,14/09/2023 12:53,Invoice - 150,USER - 04201,2023-10-26,USER - 04201,CUST - 011
Order - 0173,14/09/2023 13:02,Invoice - 151,USER - 04201,2023-11-14,USER - 04201,CUST - 023
Order - 0219,14/09/2023 13:02,Invoice - 152,USER - 04201,2023-10-18,USER - 04201,CUST - 005
Order - 0176,15/09/2023 08:30,Invoice - 153,USER - 04201,,,CUST - 024
Order - 0217,15/09/2023 11:24,Invoice - 154,USER - 04201,2023-11-08,USER - 04201,CUST - 011
Order - 0224,15/09/2023 22:09,Invoice - 155,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0135,18/09/2023 22:00,Invoice - 156,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0135,18/09/2023 22:00,Invoice - 157,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0223,18/09/2023 22:30,Invoice - 158,USER - 07897,2023-11-20,USER - 07897,CUST - 002
Order - 0227,19/09/2023 22:00,Invoice - 159,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0226,19/09/2023 22:05,Invoice - 160,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0227,20/09/2023 22:00,Invoice - 161,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0232,20/09/2023 22:06,Invoice - 162,USER - 07897,2023-10-31,USER - 07897,CUST - 011
Order - 0135,21/09/2023 16:31,Invoice - 163,USER - 04201,2023-10-18,USER - 04201,CUST - 005
Order - 0173,21/09/2023 16:31,Invoice - 164,USER - 04201,2023-11-21,USER - 04201,CUST - 023
Order - 0233,21/09/2023 16:31,Invoice - 165,USER - 04201,2023-10-26,USER - 04201,CUST - 011
Order - 0234,21/09/2023 16:31,Invoice - 166,USER - 04201,2023-10-31,USER - 04201,CUST - 011
Order - 0228,22/09/2023 22:00,Invoice - 167,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0235,22/09/2023 22:00,Invoice - 168,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0120,22/09/2023 22:00,Invoice - 169,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0236,22/09/2023 22:06,Invoice - 170,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0238,26/09/2023 22:12,Invoice - 171,USER - 07897,2023-11-02,USER - 07897,CUST - 011
Order - 0239,26/09/2023 22:12,Invoice - 172,USER - 07897,2023-11-02,USER - 07897,CUST - 011
Order - 0242,27/09/2023 13:56,Invoice - 173,USER - 04201,2023-10-13,USER - 04201,CUST - 011
Order - 0243,27/09/2023 13:56,Invoice - 174,USER - 04201,2023-10-31,USER - 04201,CUST - 011
Order - 0247,28/09/2023 22:10,Invoice - 175,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0248,28/09/2023 22:10,Invoice - 176,USER - 07897,2023-10-26,USER - 07897,CUST - 011
Order - 0185,29/09/2023 22:00,Invoice - 177,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0235,29/09/2023 22:00,Invoice - 178,USER - 07897,2023-10-18,USER - 07897,CUST - 005
Order - 0173,29/09/2023 22:24,Invoice - 179,USER - 07897,2023-11-29,USER - 07897,CUST - 023
Order - 0256,02/10/2023 22:10,Invoice - 180,USER - 07897,2023-11-02,USER - 07897,CUST - 011
Order - 0257,02/10/2023 22:10,Invoice - 181,USER - 07897,2023-11-02,USER - 07897,CUST - 011
Order - 0258,03/10/2023 22:00,Invoice - 182,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0252,04/10/2023 10:53,Invoice - 183,USER - 04201,2024-01-22,USER - 04201,CUST - 032
Order - 0260,05/10/2023 22:12,Invoice - 184,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0261,05/10/2023 22:12,Invoice - 185,USER - 07897,2023-11-08,USER - 07897,CUST - 011
Order - 0173,06/10/2023 22:21,Invoice - 186,USER - 07897,2023-12-06,USER - 07897,CUST - 023
Order - 0264,09/10/2023 22:00,Invoice - 187,USER - 07897,2023-11-08,USER - 07897,CUST - 011
Order - 0265,09/10/2023 22:00,Invoice - 188,USER - 07897,2023-11-15,USER - 07897,CUST - 011
Order - 0266,09/10/2023 22:00,Invoice - 189,USER - 07897,2023-11-08,USER - 07897,CUST - 011
Order - 0269,10/10/2023 22:16,Invoice - 190,USER - 07897,2023-11-08,USER - 07897,CUST - 011
Order - 0272,11/10/2023 22:11,Invoice - 191,USER - 07897,2023-11-08,USER - 07897,CUST - 011
Order - 0273,11/10/2023 22:11,Invoice - 192,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0278,12/10/2023 14:11,Invoice - 193,USER - 04201,2023-11-08,USER - 04201,CUST - 011
Order - 0173,12/10/2023 14:12,Invoice - 194,USER - 04201,2023-12-27,USER - 04201,CUST - 023
Order - 0275,12/10/2023 14:12,Invoice - 195,USER - 04201,2023-11-29,USER - 04201,CUST - 011
Order - 0276,12/10/2023 14:12,Invoice - 196,USER - 04201,2023-11-29,USER - 04201,CUST - 011
Order - 0277,12/10/2023 14:12,Invoice - 197,USER - 04201,2023-11-24,USER - 04201,CUST - 011
Order - 0259,13/10/2023 11:10,Invoice - 198,USER - 10897,2024-01-22,USER - 10897,CUST - 032
Order - 0135,16/10/2023 22:00,Invoice - 199,USER - 07897,2023-11-15,USER - 07897,CUST - 005
Order - 0185,16/10/2023 22:00,Invoice - 200,USER - 07897,2023-11-15,USER - 07897,CUST - 005
Order - 0281,16/10/2023 22:24,Invoice - 201,USER - 07897,2023-11-15,USER - 07897,CUST - 011
Order - 0282,17/10/2023 22:09,Invoice - 202,USER - 07897,2023-11-15,USER - 07897,CUST - 011
Order - 0259,19/10/2023 10:05,Invoice - 203,USER - 08479,2024-01-22,USER - 08479,CUST - 032
Order - 0284,19/10/2023 22:09,Invoice - 204,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0285,19/10/2023 22:09,Invoice - 205,USER - 07897,2023-11-23,USER - 07897,CUST - 011
Order - 0259,20/10/2023 11:15,Invoice - 206,USER - 04201,2024-01-22,USER - 04201,CUST - 032
Order - 0186,20/10/2023 11:21,Invoice - 207,USER - 04201,2023-11-15,USER - 04201,CUST - 005
Order - 0288,20/10/2023 22:15,Invoice - 208,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0289,20/10/2023 22:15,Invoice - 209,USER - 07897,2023-11-23,USER - 07897,CUST - 011
Order - 0293,24/10/2023 22:15,Invoice - 210,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0294,24/10/2023 22:15,Invoice - 211,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0287,25/10/2023 22:00,Invoice - 212,USER - 07897,2023-11-15,USER - 07897,CUST - 005
Order - 0185,25/10/2023 22:00,Invoice - 213,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0259,27/10/2023 11:35,Invoice - 214,USER - 08479,2024-01-22,USER - 08479,CUST - 032
Order - 0301,27/10/2023 22:21,Invoice - 215,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0173,27/10/2023 22:33,Invoice - 216,USER - 07897,2023-12-27,USER - 07897,CUST - 023
Order - 0303,30/10/2023 22:31,Invoice - 217,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0304,30/10/2023 22:31,Invoice - 218,USER - 07897,2023-11-29,USER - 07897,CUST - 011
Order - 0135,31/10/2023 14:43,Invoice - 219,USER - 04201,2023-11-15,USER - 04201,CUST - 005
Order - 0173,31/10/2023 14:43,Invoice - 220,USER - 04201,2023-12-28,USER - 04201,CUST - 023
Order - 0185,31/10/2023 14:43,Invoice - 221,USER - 04201,2023-11-15,USER - 04201,CUST - 005
Order - 0309,31/10/2023 14:43,Invoice - 222,USER - 04201,2023-11-29,USER - 04201,CUST - 011
Order - 0173,02/11/2023 22:26,Invoice - 223,USER - 07897,2023-12-29,USER - 07897,CUST - 023
Order - 0308,03/11/2023 10:08,Invoice - 224,USER - 08479,2024-01-31,USER - 08479,CUST - 032
Order - 0311,06/11/2023 22:27,Invoice - 225,USER - 07897,2023-12-29,USER - 07897,CUST - 011
Order - 0312,06/11/2023 22:27,Invoice - 226,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0313,08/11/2023 22:06,Invoice - 227,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0314,08/11/2023 22:06,Invoice - 228,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0315,08/11/2023 22:06,Invoice - 229,USER - 07897,2023-12-14,USER - 07897,CUST - 011
Order - 0316,08/11/2023 22:06,Invoice - 230,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0012,09/11/2023 22:00,Invoice - 231,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0319,09/11/2023 22:19,Invoice - 232,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0318,10/11/2023 22:00,Invoice - 233,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0324,10/11/2023 22:24,Invoice - 234,USER - 07897,2023-12-07,USER - 07897,CUST - 011
Order - 0325,10/11/2023 22:24,Invoice - 235,USER - 07897,2023-12-29,USER - 07897,CUST - 011
Order - 0173,10/11/2023 22:43,Invoice - 236,USER - 07897,2024-01-10,USER - 07897,CUST - 023
Order - 0326,13/11/2023 22:29,Invoice - 237,USER - 07897,2023-12-13,USER - 07897,CUST - 011
Order - 0327,13/11/2023 22:29,Invoice - 238,USER - 07897,2023-12-20,USER - 07897,CUST - 011
Order - 0173,13/11/2023 22:48,Invoice - 239,USER - 07897,2024-01-15,USER - 07897,CUST - 023
Order - 0329,14/11/2023 22:24,Invoice - 240,USER - 07897,2023-12-13,USER - 07897,CUST - 011
Order - 0330,14/11/2023 22:24,Invoice - 241,USER - 07897,2023-12-29,USER - 07897,CUST - 011
Order - 0173,16/11/2023 11:24,Invoice - 242,USER - 04201,2024-01-16,USER - 04201,CUST - 023
Order - 0338,16/11/2023 14:35,Invoice - 243,USER - 04201,2023-12-29,USER - 04201,CUST - 011
Order - 0339,16/11/2023 14:35,Invoice - 244,USER - 04201,2023-12-20,USER - 04201,CUST - 011
Order - 0340,16/11/2023 22:00,Invoice - 245,USER - 07897,2023-12-13,USER - 07897,CUST - 011
Order - 0120,17/11/2023 22:00,Invoice - 246,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0341,17/11/2023 22:50,Invoice - 247,USER - 07897,2023-12-20,USER - 07897,CUST - 011
Order - 0362,21/11/2023 22:00,Invoice - 248,USER - 07897,2023-12-29,USER - 07897,CUST - 011
Order - 0363,21/11/2023 22:00,Invoice - 249,USER - 07897,2024-01-03,USER - 07897,CUST - 011
Order - 0365,22/11/2023 22:31,Invoice - 250,USER - 07897,2023-12-20,USER - 07897,CUST - 011
Order - 0337,23/11/2023 22:00,Invoice - 251,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0337,23/11/2023 22:00,Invoice - 252,USER - 07897,,,CUST - 005
Order - 0135,23/11/2023 22:00,Invoice - 253,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0378,23/11/2023 22:06,Invoice - 254,USER - 07897,2023-12-20,USER - 07897,CUST - 011
Order - 0173,23/11/2023 22:24,Invoice - 255,USER - 07897,2024-01-23,USER - 07897,CUST - 023
Order - 0185,24/11/2023 22:00,Invoice - 256,USER - 07897,2023-12-13,USER - 07897,CUST - 005
Order - 0389,24/11/2023 22:28,Invoice - 257,USER - 07897,2023-12-14,USER - 07897,CUST - 011
Order - 0390,27/11/2023 22:28,Invoice - 258,USER - 07897,2024-01-03,USER - 07897,CUST - 011
Order - 0391,28/11/2023 22:06,Invoice - 259,USER - 07897,2024-01-03,USER - 07897,CUST - 011
